Response Time,Age,Gender,Country,Education,Job Title,Experience,Investment,Compensation,Int Age
402,30-34,Woman,South Korea,Master’s degree,Business Analyst,< 1 years,$0 ($USD),"4,000-4,999",30
649,35-39,Woman,Spain,Master’s degree,Currently not employed,< 1 years,,,35
11633,22-24,Man,Australia,Master’s degree,Data Scientist,1-3 years,"$1000-$9,999","90,000-99,999",22
825,30-34,Woman,Other,Doctoral degree,Research Scientist,I have never written code,$0 ($USD),$0-999,30
867,45-49,Man,Nigeria,Master’s degree,Research Scientist,I have never written code,$1-$99,"1,000-1,999",45
459,50-54,Man,United States of America,Master’s degree,Student,1-3 years,,,50
496,30-34,Woman,India,Master’s degree,Data Analyst,5-10 years,$0 ($USD),$0-999,30
396,18-21,Man,Ukraine,Some college/university study without earning a bachelor’s degree,Machine Learning Engineer,1-3 years,,,18
447,50-54,Man,United States of America,Master’s degree,Research Scientist,10-20 years,"$100,000 or more ($USD)","300,000-499,999",50
1835,30-34,Woman,Egypt,Doctoral degree,Research Scientist,10-20 years,$1-$99,"20,000-24,999",30
762,25-29,Man,Netherlands,Master’s degree,Currently not employed,3-5 years,,,25
2036,25-29,Woman,India,Bachelor’s degree,Data Analyst,I have never written code,$0 ($USD),"5,000-7,499",25
464,35-39,Man,South Africa,Bachelor’s degree,Developer Relations/Advocacy,10-20 years,$1-$99,"80,000-89,999",35
2392,35-39,Man,Russia,Master’s degree,Product Manager,< 1 years,,"15,000-19,999",35
386,25-29,Woman,United States of America,Master’s degree,Student,< 1 years,,,25
740,25-29,Man,China,Master’s degree,Data Analyst,1-3 years,$1-$99,"10,000-14,999",25
1121,25-29,Man,India,Bachelor’s degree,Data Scientist,5-10 years,"$10,000-$99,999","5,000-7,499",25
1234,35-39,Man,India,Bachelor’s degree,Data Scientist,< 1 years,$100-$999,$0-999,35
1154,40-44,Woman,United States of America,Master’s degree,Student,1-3 years,,,40
434,25-29,Man,Taiwan,Master’s degree,Currently not employed,1-3 years,,,25
522,30-34,Man,Germany,Master’s degree,Data Scientist,1-3 years,"$1000-$9,999","60,000-69,999",30
3595,18-21,Man,India,Bachelor’s degree,Data Analyst,1-3 years,$1-$99,$0-999,18
2218,22-24,Man,India,Bachelor’s degree,Data Analyst,< 1 years,$1-$99,"3,000-3,999",22
1217,25-29,Woman,India,Master’s degree,Other,1-3 years,$1-$99,"3,000-3,999",25
423,22-24,Man,Greece,Master’s degree,Machine Learning Engineer,3-5 years,$1-$99,"25,000-29,999",22
586,30-34,Man,South Korea,Doctoral degree,Research Scientist,5-10 years,$0 ($USD),"15,000-19,999",30
934,40-44,Man,South Africa,Some college/university study without earning a bachelor’s degree,DBA/Database Engineer,3-5 years,"$10,000-$99,999","40,000-49,999",40
556,35-39,Woman,Spain,Doctoral degree,Data Scientist,10-20 years,$0 ($USD),"40,000-49,999",35
584,45-49,Man,Malaysia,Master’s degree,Other,20+ years,$0 ($USD),"2,000-2,999",45
241,22-24,Man,Bangladesh,Bachelor’s degree,Currently not employed,3-5 years,,,22
511,50-54,Man,Belgium,Master’s degree,Software Engineer,20+ years,$0 ($USD),$0-999,50
559,22-24,Man,India,Bachelor’s degree,Data Scientist,1-3 years,$1-$99,$0-999,22
1076,45-49,Man,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Student,3-5 years,,,45
186,22-24,Man,India,Bachelor’s degree,Currently not employed,< 1 years,,,22
450,18-21,Man,United States of America,Bachelor’s degree,Student,1-3 years,,,18
969,25-29,Man,Hong Kong (S.A.R.),Bachelor’s degree,Software Engineer,< 1 years,$1-$99,"40,000-49,999",25
304,25-29,Man,India,Bachelor’s degree,Program/Project Manager,5-10 years,$0 ($USD),"40,000-49,999",25
1588,18-21,Man,China,Some college/university study without earning a bachelor’s degree,Student,< 1 years,,,18
663,30-34,Man,Turkey,Bachelor’s degree,Data Analyst,< 1 years,$0 ($USD),$0-999,30
2243,60-69,Man,Indonesia,Master’s degree,Program/Project Manager,5-10 years,$100-$999,"5,000-7,499",60
314,18-21,Man,India,Bachelor’s degree,Student,3-5 years,,,18
1104,50-54,Man,Taiwan,Master’s degree,Software Engineer,20+ years,"$10,000-$99,999","30,000-39,999",50
992,22-24,Woman,Other,Master’s degree,Software Engineer,3-5 years,$1-$99,$0-999,22
538,35-39,Man,Brazil,Doctoral degree,Student,1-3 years,,,35
2306,25-29,Man,Indonesia,Bachelor’s degree,Program/Project Manager,< 1 years,$0 ($USD),"15,000-19,999",25
169110,40-44,Woman,France,I prefer not to answer,Student,1-3 years,,,40
417,35-39,Man,India,Doctoral degree,Data Scientist,3-5 years,,,35
794,25-29,Woman,United States of America,Bachelor’s degree,Other,< 1 years,$100-$999,"10,000-14,999",25
654,40-44,Man,South Korea,Doctoral degree,Data Scientist,20+ years,"$1000-$9,999","10,000-14,999",40
393,35-39,Man,Pakistan,Master’s degree,Business Analyst,3-5 years,$0 ($USD),"2,000-2,999",35
599,18-21,Man,India,I prefer not to answer,Machine Learning Engineer,< 1 years,$0 ($USD),"2,000-2,999",18
13265,45-49,Man,Israel,Master’s degree,Software Engineer,10-20 years,$100-$999,"5,000-7,499",45
306,18-21,Man,India,Bachelor’s degree,Data Scientist,3-5 years,,,18
623,30-34,Man,India,Master’s degree,Data Scientist,1-3 years,"$100,000 or more ($USD)","2,000-2,999",30
866,60-69,Prefer not to say,Netherlands,Master’s degree,Data Scientist,20+ years,"$100,000 or more ($USD)","80,000-89,999",60
986,30-34,Man,Other,Bachelor’s degree,Other,I have never written code,$0 ($USD),"5,000-7,499",30
9548,25-29,Woman,India,Master’s degree,Currently not employed,< 1 years,,,25
795,50-54,Man,South Korea,Professional doctorate,Business Analyst,5-10 years,$100-$999,"50,000-59,999",50
576,50-54,Man,Spain,Master’s degree,Product Manager,10-20 years,"$1000-$9,999","60,000-69,999",50
562,22-24,Man,China,Bachelor’s degree,Student,3-5 years,,,22
691,40-44,Man,Spain,Master’s degree,Data Scientist,10-20 years,"$1000-$9,999","50,000-59,999",40
568,25-29,Man,Philippines,Bachelor’s degree,Data Analyst,1-3 years,$0 ($USD),"5,000-7,499",25
459,18-21,Man,India,Some college/university study without earning a bachelor’s degree,Student,< 1 years,,,18
2766,18-21,Woman,India,Bachelor’s degree,Student,1-3 years,,,18
916,25-29,Man,Japan,Doctoral degree,Student,3-5 years,,,25
312,18-21,Woman,India,Master’s degree,Data Scientist,3-5 years,,,18
433,35-39,Man,United Kingdom of Great Britain and Northern Ireland,Doctoral degree,Data Scientist,5-10 years,$100-$999,"90,000-99,999",35
829,40-44,Man,India,Master’s degree,Other,I have never written code,$0 ($USD),"30,000-39,999",40
1129,18-21,Man,India,Bachelor’s degree,Student,1-3 years,,,18
490,60-69,Man,United States of America,Master’s degree,Business Analyst,I have never written code,$100-$999,"100,000-124,999",60
668,18-21,Man,India,Bachelor’s degree,Data Scientist,< 1 years,,,18
855,30-34,Woman,India,Master’s degree,Business Analyst,< 1 years,$0 ($USD),$0-999,30
459,25-29,Man,South Korea,Master’s degree,Data Scientist,1-3 years,$100-$999,"2,000-2,999",25
724,25-29,Woman,Italy,Master’s degree,Student,1-3 years,,,25
705,60-69,Nonbinary,Germany,Master’s degree,Software Engineer,20+ years,$1-$99,"100,000-124,999",60
481,25-29,Man,Israel,Master’s degree,Software Engineer,3-5 years,$100-$999,"100,000-124,999",25
1083,30-34,Man,Brazil,Doctoral degree,Research Scientist,5-10 years,"$100,000 or more ($USD)","2,000-2,999",30
977,60-69,Man,Taiwan,Doctoral degree,Data Analyst,1-3 years,$0 ($USD),"4,000-4,999",60
1220,40-44,Man,Brazil,I prefer not to answer,Student,10-20 years,,,40
573,22-24,Man,India,Master’s degree,Student,1-3 years,,,22
1035,25-29,Man,Russia,Master’s degree,Machine Learning Engineer,10-20 years,"$1000-$9,999","90,000-99,999",25
513,35-39,Woman,Australia,Doctoral degree,Data Analyst,3-5 years,$0 ($USD),"70,000-79,999",35
786,30-34,Man,India,Master’s degree,Program/Project Manager,1-3 years,"$1000-$9,999","10,000-14,999",30
740,25-29,Man,Australia,Master’s degree,Student,< 1 years,,,25
604,25-29,Woman,United States of America,Master’s degree,Software Engineer,1-3 years,$100-$999,$0-999,25
468,18-21,Man,India,Bachelor’s degree,Student,< 1 years,,,18
753,45-49,Man,Peru,Bachelor’s degree,Software Engineer,10-20 years,"$10,000-$99,999","50,000-59,999",45
558,30-34,Man,Argentina,Master’s degree,Statistician,< 1 years,$0 ($USD),"3,000-3,999",30
365,35-39,Man,Hong Kong (S.A.R.),Master’s degree,Currently not employed,< 1 years,,,35
1636,25-29,Man,India,Master’s degree,Software Engineer,1-3 years,,,25
421,30-34,Woman,United States of America,Master’s degree,Business Analyst,I have never written code,$100-$999,"60,000-69,999",30
1114,25-29,Man,India,Bachelor’s degree,Software Engineer,1-3 years,$1-$99,$0-999,25
6724,30-34,Man,Nigeria,Master’s degree,Software Engineer,3-5 years,,,30
729,22-24,Man,Other,Doctoral degree,Data Scientist,3-5 years,$100-$999,"300,000-499,999",22
993,55-59,Man,United States of America,Bachelor’s degree,Other,1-3 years,"$1000-$9,999","30,000-39,999",55
1319,30-34,Man,India,Master’s degree,DBA/Database Engineer,5-10 years,$1-$99,"25,000-29,999",30
673,22-24,Woman,Tunisia,Master’s degree,Data Scientist,1-3 years,$0 ($USD),$0-999,22
653,55-59,Man,United States of America,Some college/university study without earning a bachelor’s degree,Software Engineer,20+ years,$100-$999,"125,000-149,999",55
1975,55-59,Man,United States of America,Master’s degree,Other,< 1 years,$0 ($USD),"40,000-49,999",55
422,22-24,Man,India,Master’s degree,Data Scientist,< 1 years,,"2,000-2,999",22
576,22-24,Man,Other,Master’s degree,Student,1-3 years,,,22
2592,35-39,Man,Canada,Some college/university study without earning a bachelor’s degree,Student,< 1 years,,,35
910,40-44,Woman,United States of America,Doctoral degree,Research Scientist,10-20 years,$0 ($USD),"30,000-39,999",40
1363,40-44,Man,India,Doctoral degree,Data Scientist,5-10 years,"$1000-$9,999","20,000-24,999",40
608,18-21,Man,India,Bachelor’s degree,Student,3-5 years,,,18
1358,18-21,Man,Nigeria,Bachelor’s degree,Software Engineer,3-5 years,,,18
545,18-21,Man,India,Master’s degree,Student,3-5 years,,,18
1143,45-49,Man,Poland,Master’s degree,Developer Relations/Advocacy,20+ years,$0 ($USD),"90,000-99,999",45
1427,25-29,Man,Germany,Master’s degree,Data Scientist,3-5 years,$100-$999,"60,000-69,999",25
832,25-29,Woman,Nigeria,Master’s degree,Data Analyst,< 1 years,$0 ($USD),"5,000-7,499",25
536,40-44,Man,Germany,Master’s degree,Data Analyst,< 1 years,,"7,500-9,999",40
1157,40-44,Man,Malaysia,Doctoral degree,Statistician,5-10 years,"$1000-$9,999","4,000-4,999",40
860,22-24,Woman,Kenya,Bachelor’s degree,Software Engineer,1-3 years,$0 ($USD),"2,000-2,999",22
1853,50-54,Man,Japan,Bachelor’s degree,Other,1-3 years,"$1000-$9,999","70,000-79,999",50
1022,25-29,Man,India,Bachelor’s degree,Data Analyst,< 1 years,$0 ($USD),"5,000-7,499",25
690,30-34,Man,Russia,Some college/university study without earning a bachelor’s degree,Other,< 1 years,$0 ($USD),"5,000-7,499",30
7322,18-21,Man,Japan,Some college/university study without earning a bachelor’s degree,Student,< 1 years,,,18
1051,25-29,Man,India,Doctoral degree,Student,3-5 years,,,25
297,50-54,Woman,South Korea,Master’s degree,Product Manager,< 1 years,"$1000-$9,999","4,000-4,999",50
841,30-34,Woman,Netherlands,Doctoral degree,Research Scientist,< 1 years,$0 ($USD),"30,000-39,999",30
2330958,22-24,Man,Kenya,Bachelor’s degree,Student,< 1 years,,,22
373,25-29,Man,Mexico,Bachelor’s degree,Other,< 1 years,,,25
563,50-54,Man,Italy,Bachelor’s degree,Product Manager,20+ years,"$1000-$9,999","50,000-59,999",50
1070,40-44,Man,India,Doctoral degree,Program/Project Manager,< 1 years,$100-$999,"25,000-29,999",40
372,18-21,Man,India,Bachelor’s degree,Data Scientist,1-3 years,$1-$99,$0-999,18
845,22-24,Man,Poland,Master’s degree,Data Scientist,3-5 years,"$10,000-$99,999","40,000-49,999",22
750,35-39,Man,Japan,Master’s degree,Software Engineer,10-20 years,$100-$999,"10,000-14,999",35
706,40-44,Man,Mexico,Professional doctorate,Machine Learning Engineer,I have never written code,"$1000-$9,999",$0-999,40
421,18-21,Man,China,Some college/university study without earning a bachelor’s degree,Data Analyst,< 1 years,$0 ($USD),"1,000-1,999",18
943,55-59,Man,Kazakhstan,Master’s degree,Currently not employed,3-5 years,,,55
868,18-21,Man,India,Bachelor’s degree,Student,1-3 years,,,18
303,35-39,Man,United Arab Emirates,Bachelor’s degree,Data Engineer,< 1 years,,,35
896,18-21,Man,India,Bachelor’s degree,Student,1-3 years,,,18
497,18-21,Man,Indonesia,Bachelor’s degree,Student,< 1 years,,,18
245,22-24,Man,Canada,Bachelor’s degree,Student,1-3 years,,,22
491,25-29,Man,India,Bachelor’s degree,Software Engineer,5-10 years,$100-$999,"20,000-24,999",25
411,18-21,Man,Pakistan,Bachelor’s degree,Student,1-3 years,,,18
1245,45-49,Woman,Philippines,Doctoral degree,Program/Project Manager,20+ years,$0 ($USD),"15,000-19,999",45
902,25-29,Man,Pakistan,Bachelor’s degree,Data Analyst,< 1 years,$0 ($USD),$0-999,25
1673,45-49,Man,United States of America,Master’s degree,Student,5-10 years,,,45
819,30-34,Man,Other,Bachelor’s degree,Other,I have never written code,$0 ($USD),"20,000-24,999",30
606,30-34,Man,Australia,Master’s degree,Data Scientist,10-20 years,$100-$999,"150,000-199,999",30
571,25-29,Man,Turkey,Bachelor’s degree,Software Engineer,3-5 years,$100-$999,"150,000-199,999",25
226,18-21,Man,Viet Nam,Bachelor’s degree,Research Scientist,1-3 years,,,18
376,60-69,Man,Colombia,Master’s degree,Other,I have never written code,"$1000-$9,999","1,000-1,999",60
130,22-24,Woman,Viet Nam,Some college/university study without earning a bachelor’s degree,Machine Learning Engineer,1-3 years,,,22
740,35-39,Man,India,Doctoral degree,Student,5-10 years,,,35
648,25-29,Man,India,Master’s degree,Software Engineer,5-10 years,,,25
747,45-49,Man,India,Master’s degree,Data Scientist,5-10 years,"$100,000 or more ($USD)","50,000-59,999",45
1095,30-34,Man,Other,Master’s degree,Data Analyst,1-3 years,$0 ($USD),"2,000-2,999",30
226,22-24,Man,India,Bachelor’s degree,DBA/Database Engineer,< 1 years,,,22
201,18-21,Man,India,Some college/university study without earning a bachelor’s degree,Student,1-3 years,,,18
409,45-49,Man,India,Professional doctorate,Statistician,I have never written code,$0 ($USD),$0-999,45
560,30-34,Man,Portugal,Doctoral degree,Machine Learning Engineer,5-10 years,"$10,000-$99,999","60,000-69,999",30
2438,18-21,Woman,Russia,Bachelor’s degree,Student,< 1 years,,,18
386,18-21,Man,India,Bachelor’s degree,Student,1-3 years,,,18
509,30-34,Man,China,Bachelor’s degree,Product Manager,1-3 years,$1-$99,$0-999,30
2702,30-34,Man,South Korea,Bachelor’s degree,Other,< 1 years,$1-$99,"60,000-69,999",30
30752,18-21,Man,Brazil,Some college/university study without earning a bachelor’s degree,Currently not employed,< 1 years,,,18
466,45-49,Man,United States of America,Professional doctorate,Data Scientist,10-20 years,"$100,000 or more ($USD)","150,000-199,999",45
902,35-39,Man,United States of America,Master’s degree,Business Analyst,10-20 years,$1-$99,$0-999,35
447,40-44,Woman,India,Doctoral degree,Machine Learning Engineer,3-5 years,$1-$99,"1,000-1,999",40
324,22-24,Man,Italy,Master’s degree,Currently not employed,1-3 years,,,22
468,40-44,Man,Brazil,Master’s degree,Data Scientist,1-3 years,"$1000-$9,999","50,000-59,999",40
466,25-29,Woman,Viet Nam,Master’s degree,Research Scientist,1-3 years,$0 ($USD),$0-999,25
595,22-24,Woman,France,Master’s degree,Student,< 1 years,,,22
360,30-34,Man,Germany,Doctoral degree,Data Analyst,10-20 years,,,30
427,40-44,Man,India,Bachelor’s degree,Product Manager,1-3 years,"$10,000-$99,999","60,000-69,999",40
1025,22-24,Man,Japan,Bachelor’s degree,Student,1-3 years,,,22
1804,55-59,Man,United Kingdom of Great Britain and Northern Ireland,Doctoral degree,Research Scientist,20+ years,"$1000-$9,999","90,000-99,999",55
641,18-21,Man,China,Bachelor’s degree,Currently not employed,1-3 years,,,18
432,22-24,Man,Taiwan,Master’s degree,Student,1-3 years,,,22
614,40-44,Man,India,Doctoral degree,Student,< 1 years,,,40
685,22-24,Man,India,Bachelor’s degree,Student,3-5 years,,,22
1161,35-39,Woman,India,Bachelor’s degree,Data Engineer,1-3 years,$100-$999,"5,000-7,499",35
344,25-29,Man,Germany,Master’s degree,Student,3-5 years,,,25
2637,55-59,Man,Germany,Doctoral degree,Software Engineer,20+ years,"$100,000 or more ($USD)","90,000-99,999",55
225,22-24,Man,Italy,Doctoral degree,Student,3-5 years,,,22
511,22-24,Man,Poland,Bachelor’s degree,Software Engineer,1-3 years,"$10,000-$99,999","40,000-49,999",22
326,25-29,Man,United Arab Emirates,Bachelor’s degree,Data Scientist,5-10 years,$0 ($USD),"40,000-49,999",25
648,25-29,Man,India,Master’s degree,Currently not employed,< 1 years,,,25
625,18-21,Man,India,Bachelor’s degree,Student,3-5 years,,,18
155,30-34,Woman,Ukraine,Master’s degree,Currently not employed,< 1 years,,,30
1178,30-34,Woman,Germany,Master’s degree,Data Analyst,5-10 years,$0 ($USD),"60,000-69,999",30
430,35-39,Man,India,Bachelor’s degree,Other,5-10 years,$0 ($USD),"25,000-29,999",35
348,18-21,Man,Philippines,Bachelor’s degree,Developer Relations/Advocacy,1-3 years,"$1000-$9,999",$0-999,18
1041,18-21,Woman,Egypt,Bachelor’s degree,Student,1-3 years,,,18
2289,35-39,Woman,Nigeria,Master’s degree,Business Analyst,< 1 years,$0 ($USD),$0-999,35
809,30-34,Man,India,Master’s degree,Currently not employed,3-5 years,,,30
211,18-21,Man,Other,Some college/university study without earning a bachelor’s degree,Business Analyst,1-3 years,$0 ($USD),$0-999,18
2483,22-24,Man,Egypt,Bachelor’s degree,Currently not employed,1-3 years,,,22
291,25-29,Man,Nigeria,Master’s degree,Data Analyst,< 1 years,$0 ($USD),"1,000-1,999",25
471,18-21,Woman,India,Bachelor’s degree,Data Analyst,< 1 years,$0 ($USD),$0-999,18
406,55-59,Man,United States of America,Professional doctorate,Research Scientist,10-20 years,"$1000-$9,999","200,000-249,999",55
566,55-59,Man,Netherlands,Master’s degree,Data Scientist,20+ years,"$100,000 or more ($USD)","100,000-124,999",55
174,25-29,Man,Nigeria,Bachelor’s degree,Student,< 1 years,,,25
380,25-29,Man,India,Master’s degree,Data Scientist,3-5 years,,,25
331,18-21,Man,India,Bachelor’s degree,Student,< 1 years,,,18
537,30-34,Man,Russia,No formal education past high school,Currently not employed,5-10 years,,,30
393,22-24,Man,India,Master’s degree,Student,3-5 years,,,22
984,35-39,Man,India,Master’s degree,Machine Learning Engineer,5-10 years,$1-$99,"50,000-59,999",35
465,30-34,Man,United States of America,Bachelor’s degree,Data Scientist,5-10 years,"$10,000-$99,999","200,000-249,999",30
897,60-69,Prefer not to say,United States of America,Master’s degree,Data Analyst,I have never written code,"$100,000 or more ($USD)","100,000-124,999",60
866,30-34,Woman,Viet Nam,Bachelor’s degree,Currently not employed,< 1 years,,,30
37615,18-21,Man,China,Some college/university study without earning a bachelor’s degree,Student,< 1 years,,,18
515,30-34,Man,Turkey,Doctoral degree,Research Scientist,3-5 years,$0 ($USD),"4,000-4,999",30
509,22-24,Man,Hong Kong (S.A.R.),Master’s degree,Software Engineer,3-5 years,$1-$99,"30,000-39,999",22
1363,45-49,Man,Japan,Bachelor’s degree,Other,20+ years,"$1000-$9,999","100,000-124,999",45
838,30-34,Man,Viet Nam,Master’s degree,Product Manager,1-3 years,$0 ($USD),"2,000-2,999",30
2117,60-69,Man,Japan,Bachelor’s degree,Program/Project Manager,20+ years,$0 ($USD),"40,000-49,999",60
645,55-59,Man,Thailand,Master’s degree,Research Scientist,10-20 years,$0 ($USD),"50,000-59,999",55
939,40-44,Man,Spain,Doctoral degree,Research Scientist,5-10 years,"$1000-$9,999","60,000-69,999",40
289,18-21,Man,India,Bachelor’s degree,Student,1-3 years,,,18
5722,35-39,Man,Italy,Master’s degree,Software Engineer,10-20 years,,,35
403,18-21,Man,India,Bachelor’s degree,Student,1-3 years,,,18
356,18-21,Woman,India,Bachelor’s degree,Software Engineer,< 1 years,$0 ($USD),$0-999,18
669,25-29,Man,Pakistan,Bachelor’s degree,Software Engineer,1-3 years,$0 ($USD),$0-999,25
764,40-44,Man,Other,I prefer not to answer,Student,1-3 years,,,40
298,18-21,Man,India,Bachelor’s degree,Student,1-3 years,,,18
1000,25-29,Man,India,I prefer not to answer,Currently not employed,1-3 years,,,25
866,30-34,Man,Turkey,Bachelor’s degree,Machine Learning Engineer,I have never written code,$1-$99,$0-999,30
234,30-34,Woman,India,Doctoral degree,Research Scientist,< 1 years,,,30
749,45-49,Woman,Portugal,Bachelor’s degree,Other,I have never written code,$0 ($USD),$0-999,45
639,25-29,Nonbinary,Ecuador,Master’s degree,Software Engineer,3-5 years,$0 ($USD),"7,500-9,999",25
808,30-34,Woman,Russia,Master’s degree,Business Analyst,5-10 years,$0 ($USD),"7,500-9,999",30
719,25-29,Man,Pakistan,Master’s degree,Student,1-3 years,,,25
810,25-29,Man,United States of America,Master’s degree,Student,1-3 years,,,25
664,45-49,Man,Australia,Master’s degree,Currently not employed,10-20 years,,,45
307301,18-21,Man,India,Master’s degree,Student,1-3 years,,,18
638,45-49,Man,Germany,Doctoral degree,Currently not employed,3-5 years,,,45
947,50-54,Man,United Kingdom of Great Britain and Northern Ireland,Some college/university study without earning a bachelor’s degree,Business Analyst,20+ years,"$10,000-$99,999","40,000-49,999",50
667,40-44,Man,India,Bachelor’s degree,Program/Project Manager,10-20 years,$0 ($USD),"30,000-39,999",40
37401,30-34,Man,United Arab Emirates,Doctoral degree,Data Scientist,5-10 years,"$1000-$9,999","90,000-99,999",30
12106,18-21,Woman,Egypt,Bachelor’s degree,Currently not employed,1-3 years,,,18
739,30-34,Man,Saudi Arabia,Bachelor’s degree,Other,1-3 years,$0 ($USD),"20,000-24,999",30
1230113,30-34,Man,France,Master’s degree,Program/Project Manager,5-10 years,"$100,000 or more ($USD)","100,000-124,999",30
567,25-29,Man,Turkey,Bachelor’s degree,Machine Learning Engineer,1-3 years,$0 ($USD),$0-999,25
881,18-21,Man,China,Bachelor’s degree,Student,1-3 years,,,18
386,35-39,Man,Hong Kong (S.A.R.),Master’s degree,Currently not employed,3-5 years,,,35
1941,45-49,Man,Pakistan,Some college/university study without earning a bachelor’s degree,Other,1-3 years,$0 ($USD),"1,000-1,999",45
1284,22-24,Man,Other,Master’s degree,Business Analyst,I have never written code,$0 ($USD),"2,000-2,999",22
1166,60-69,Man,Spain,Master’s degree,Other,20+ years,"$10,000-$99,999","100,000-124,999",60
4096,50-54,Man,Other,Doctoral degree,Research Scientist,20+ years,$0 ($USD),"25,000-29,999",50
506,55-59,Man,Italy,Doctoral degree,Research Scientist,20+ years,"$100,000 or more ($USD)","100,000-124,999",55
505,25-29,Man,India,Master’s degree,Currently not employed,3-5 years,,,25
1334,35-39,Woman,Other,Master’s degree,Other,< 1 years,$0 ($USD),"7,500-9,999",35
507,18-21,Woman,India,Bachelor’s degree,Student,3-5 years,,,18
218,22-24,Woman,India,Bachelor’s degree,Data Analyst,1-3 years,,,22
395,25-29,Man,India,Bachelor’s degree,Student,< 1 years,,,25
1242,30-34,Man,China,Master’s degree,Business Analyst,3-5 years,"$1000-$9,999","30,000-39,999",30
7215,30-34,Woman,India,Master’s degree,Program/Project Manager,I have never written code,$100-$999,"3,000-3,999",30
1005,40-44,Man,Colombia,Doctoral degree,Other,10-20 years,"$1000-$9,999","40,000-49,999",40
394,25-29,Man,United States of America,Bachelor’s degree,Software Engineer,5-10 years,$0 ($USD),"125,000-149,999",25
830,18-21,Man,India,Some college/university study without earning a bachelor’s degree,Student,< 1 years,,,18
743,22-24,Woman,France,Master’s degree,Data Scientist,3-5 years,"$10,000-$99,999","70,000-79,999",22
637,25-29,Woman,India,Master’s degree,Business Analyst,1-3 years,$0 ($USD),"5,000-7,499",25
417,22-24,Man,India,Master’s degree,Student,1-3 years,,,22
482,30-34,Man,Saudi Arabia,Bachelor’s degree,Business Analyst,< 1 years,$0 ($USD),$0-999,30
1013,50-54,Man,Japan,No formal education past high school,Software Engineer,20+ years,,,50
481,30-34,Woman,Pakistan,Master’s degree,Statistician,I have never written code,$0 ($USD),$0-999,30
854,55-59,Man,Japan,Master’s degree,Other,3-5 years,$1-$99,"70,000-79,999",55
875,22-24,Man,India,Bachelor’s degree,Data Analyst,3-5 years,$100-$999,$0-999,22
640,30-34,Man,Brazil,Bachelor’s degree,Data Scientist,1-3 years,"$1000-$9,999","30,000-39,999",30
455,18-21,Man,India,Bachelor’s degree,Student,< 1 years,,,18
806,45-49,Man,Spain,Bachelor’s degree,Data Analyst,5-10 years,$0 ($USD),"60,000-69,999",45
1048,18-21,Woman,Indonesia,Some college/university study without earning a bachelor’s degree,Business Analyst,I have never written code,$0 ($USD),$0-999,18
244,25-29,Woman,United States of America,Master’s degree,Currently not employed,1-3 years,,,25
160,18-21,Prefer not to say,United States of America,Some college/university study without earning a bachelor’s degree,Currently not employed,1-3 years,,,18
216,18-21,Man,Other,Some college/university study without earning a bachelor’s degree,Student,< 1 years,,,18
243,40-44,Man,United States of America,Bachelor’s degree,Currently not employed,1-3 years,,,40
2317,35-39,Man,United States of America,Master’s degree,Other,5-10 years,$0 ($USD),"70,000-79,999",35
647,25-29,Man,Germany,Master’s degree,Currently not employed,3-5 years,,,25
754,18-21,Man,India,Bachelor’s degree,Student,< 1 years,,,18
1980,22-24,Man,India,Bachelor’s degree,Machine Learning Engineer,5-10 years,$0 ($USD),"10,000-14,999",22
441,50-54,Woman,Poland,Master’s degree,Business Analyst,< 1 years,$100-$999,"1,000-1,999",50
919,18-21,Man,Russia,Bachelor’s degree,Software Engineer,3-5 years,$0 ($USD),$0-999,18
571,18-21,Man,India,Bachelor’s degree,Data Scientist,1-3 years,$0 ($USD),$0-999,18
717,18-21,Woman,Viet Nam,Bachelor’s degree,Data Scientist,1-3 years,"$1000-$9,999","2,000-2,999",18
1207,40-44,Man,Egypt,Doctoral degree,Research Scientist,10-20 years,$100-$999,"40,000-49,999",40
171134,22-24,Man,Kenya,Bachelor’s degree,Student,3-5 years,,,22
456482,30-34,Man,United States of America,Bachelor’s degree,Software Engineer,1-3 years,"$10,000-$99,999","80,000-89,999",30
546,22-24,Man,India,Master’s degree,Student,1-3 years,,,22
1428,50-54,Man,South Africa,Master’s degree,Software Engineer,5-10 years,,"50,000-59,999",50
743,25-29,Man,France,Master’s degree,Business Analyst,3-5 years,$0 ($USD),"100,000-124,999",25
511,30-34,Man,Austria,Doctoral degree,Data Scientist,5-10 years,"$1000-$9,999","10,000-14,999",30
373,25-29,Man,India,Master’s degree,Program/Project Manager,3-5 years,$0 ($USD),"60,000-69,999",25
340,40-44,Man,China,Master’s degree,Product Manager,10-20 years,"$1000-$9,999","3,000-3,999",40
708,30-34,Man,Sweden,No formal education past high school,Other,1-3 years,$0 ($USD),"50,000-59,999",30
3230,45-49,Man,Canada,Bachelor’s degree,Currently not employed,20+ years,,,45
430,18-21,Man,Viet Nam,I prefer not to answer,Student,1-3 years,,,18
866,25-29,Man,Japan,Master’s degree,Data Scientist,1-3 years,"$1000-$9,999","50,000-59,999",25
907,25-29,Woman,Morocco,Master’s degree,Statistician,1-3 years,$0 ($USD),$0-999,25
366,18-21,Man,India,Bachelor’s degree,Student,3-5 years,,,18
2418,30-34,Man,Brazil,Doctoral degree,Data Scientist,10-20 years,$0 ($USD),"7,500-9,999",30
