Q1,Q2,Q3,Q5
35-39,Man,India,Data Scientist
22-24,Man,India,Data Scientist
25-29,Man,India,Student
25-29,Man,Czech Republic,Data Engineer
18-21,Man,India,Data Scientist
25-29,Man,United States of America,Data Analyst
25-29,Man,Israel,Student
60-69,Man,India,Program/Project Manager
30-34,Man,United States of America,Machine Learning Engineer
40-44,Man,Japan,Research Scientist
22-24,Man,Mexico,Data Scientist
25-29,Man,Viet Nam,Research Scientist
22-24,Man,South Africa,Data Scientist
45-49,Man,Japan,Research Scientist
50-54,Prefer not to say,Italy,Data Engineer
30-34,Man,Nigeria,Software Engineer
55-59,Man,Australia,Program/Project Manager
30-34,Man,South Africa,Student
18-21,Woman,Kenya,Data Scientist
30-34,Man,Romania,Data Scientist
18-21,Woman,United States of America,Student
22-24,Man,Bangladesh,Student
22-24,Woman,Switzerland,Student
45-49,Woman,Morocco,Other
60-69,Man,United States of America,Other
30-34,Man,Kenya,Other
18-21,Man,India,Student
18-21,Man,United States of America,Student
22-24,Man,Brazil,Data Analyst
50-54,Man,Colombia,Software Engineer
50-54,Man,Other,Program/Project Manager
35-39,Man,Egypt,Research Scientist
22-24,Man,Pakistan,Student
35-39,Woman,France,Other
40-44,Man,Mexico,Other
30-34,Man,Mexico,Other
18-21,Man,India,Data Scientist
35-39,Man,Spain,Currently not employed
70+,Man,Germany,Other
22-24,Woman,Other,Software Engineer
22-24,Man,Russia,Data Scientist
35-39,Man,Germany,Data Analyst
18-21,Man,China,Student
22-24,Man,Mexico,Research Scientist
30-34,Man,United States of America,Business Analyst
22-24,Man,Indonesia,Currently not employed
30-34,Man,Kenya,Data Scientist
25-29,Man,Spain,Data Analyst
30-34,Man,Indonesia,Data Scientist
25-29,Man,Sri Lanka,Research Scientist
18-21,Woman,India,Data Analyst
22-24,Man,India,Student
22-24,Man,India,Student
35-39,Man,Spain,Software Engineer
18-21,Woman,India,Machine Learning Engineer
30-34,Woman,India,Software Engineer
40-44,Man,United States of America,Data Scientist
35-39,Woman,Saudi Arabia,Currently not employed
30-34,Man,Japan,Data Scientist
30-34,Man,Mexico,Other
22-24,Man,Spain,Data Engineer
35-39,Man,India,Data Analyst
30-34,Woman,Nigeria,Data Analyst
22-24,Man,India,Student
30-34,Man,India,Other
40-44,Man,I do not wish to disclose my location,Machine Learning Engineer
50-54,Man,Mexico,Program/Project Manager
30-34,Man,Belarus,Research Scientist
18-21,Man,India,Software Engineer
25-29,Man,Ghana,Currently not employed
50-54,Man,Mexico,Research Scientist
18-21,Man,India,Student
45-49,Man,Other,Data Scientist
18-21,Man,India,Student
25-29,Man,Other,Research Scientist
30-34,Man,India,Data Scientist
18-21,Man,India,Student
30-34,Man,Germany,Program/Project Manager
18-21,Man,India,Student
18-21,Man,India,Student
18-21,Man,Indonesia,Student
45-49,Man,United States of America,Other
30-34,Man,United States of America,Student
40-44,Woman,United States of America,Currently not employed
30-34,Man,Colombia,Machine Learning Engineer
22-24,Man,India,Student
40-44,Man,Colombia,Business Analyst
25-29,Man,India,Currently not employed
25-29,Man,Bangladesh,Data Analyst
40-44,Man,Brazil,Program/Project Manager
35-39,Man,India,Other
25-29,Man,Italy,Business Analyst
22-24,Man,India,Software Engineer
25-29,Man,Germany,Research Scientist
22-24,Man,Indonesia,Currently not employed
55-59,Man,United States of America,Other
18-21,Woman,United Kingdom of Great Britain and Northern Ireland,Student
40-44,Man,Chile,Data Scientist
25-29,Man,Japan,Product Manager
25-29,Man,India,Currently not employed
22-24,Man,Russia,Business Analyst
60-69,Man,Kenya,Other
18-21,Man,India,Student
18-21,Man,India,Student
22-24,Man,China,Student
22-24,Man,Brazil,Student
18-21,Woman,India,Student
22-24,Man,India,Currently not employed
30-34,Man,India,Business Analyst
50-54,Man,United States of America,Other
55-59,Man,Russia,Software Engineer
40-44,Woman,United States of America,Other
18-21,Man,Indonesia,Student
22-24,Woman,India,Data Analyst
30-34,Man,India,Other
22-24,Man,India,Data Scientist
22-24,Woman,India,Student
40-44,Prefer not to say,Netherlands,Data Scientist
25-29,Man,United Kingdom of Great Britain and Northern Ireland,Student
30-34,Man,Portugal,Data Scientist
22-24,Woman,India,Machine Learning Engineer
30-34,Man,Nigeria,Currently not employed
22-24,Woman,India,Machine Learning Engineer
25-29,Man,India,Data Scientist
22-24,Man,Japan,Student
18-21,Man,India,Student
30-34,Man,Spain,Machine Learning Engineer
22-24,Man,Taiwan,Student
25-29,Man,Japan,Data Scientist
30-34,Man,Philippines,Data Scientist
22-24,Man,Pakistan,Student
25-29,Man,Brazil,Business Analyst
30-34,Woman,United States of America,Other
18-21,Man,India,Student
25-29,Man,Nigeria,Data Analyst
22-24,Man,Brazil,Student
30-34,Woman,India,Currently not employed
50-54,Man,Australia,Other
30-34,Man,France,Data Engineer
18-21,Man,India,Student
22-24,Woman,Australia,Data Analyst
35-39,Man,India,Other
22-24,Man,India,Student
40-44,Man,Taiwan,Student
18-21,Man,India,Student
18-21,Man,India,Student
22-24,Man,India,Student
18-21,Man,Pakistan,Data Engineer
18-21,Man,China,Student
60-69,Man,United Kingdom of Great Britain and Northern Ireland,Software Engineer
25-29,Woman,Poland,Research Scientist
22-24,Man,Egypt,Data Scientist
18-21,Man,Other,Currently not employed
35-39,Man,India,Other
30-34,Man,India,Other
22-24,Man,South Korea,Machine Learning Engineer
25-29,Man,Canada,Student
50-54,Man,United States of America,Currently not employed
22-24,Man,Bangladesh,Student
25-29,Man,Nigeria,Data Scientist
22-24,Man,United States of America,Student
22-24,Man,China,Data Scientist
18-21,Woman,India,Student
25-29,Man,Tunisia,Data Scientist
18-21,Man,India,Student
50-54,Man,Spain,Software Engineer
22-24,Man,Pakistan,Data Scientist
22-24,Man,Brazil,Software Engineer
40-44,Woman,United States of America,Currently not employed
18-21,Man,Ghana,Student
35-39,Woman,United States of America,Other
30-34,Man,China,Data Analyst
45-49,Man,Egypt,Data Analyst
30-34,Man,Germany,Student
18-21,Woman,India,Machine Learning Engineer
22-24,Man,India,Machine Learning Engineer
35-39,Woman,Turkey,Statistician
22-24,Man,China,Student
22-24,Woman,India,Data Scientist
18-21,Man,India,Student
18-21,Man,India,Student
50-54,Man,United States of America,Research Scientist
22-24,Man,India,Software Engineer
18-21,Man,Egypt,Data Analyst
35-39,Man,United Kingdom of Great Britain and Northern Ireland,Student
18-21,Man,India,Student
18-21,Man,India,Student
40-44,Man,Other,Research Scientist
18-21,Man,Brazil,Student
18-21,Man,India,Data Scientist
18-21,Man,Romania,Student
22-24,Man,India,Currently not employed
22-24,Man,India,Data Scientist
18-21,Man,Viet Nam,Machine Learning Engineer
22-24,Man,Egypt,Student
22-24,Man,Thailand,Currently not employed
22-24,Woman,Other,Student
18-21,Man,India,Student
25-29,Man,United States of America,Currently not employed
50-54,Man,Taiwan,Other
40-44,Man,Mexico,Data Scientist
22-24,Man,India,Student
18-21,Man,India,Student
35-39,Man,India,Other
25-29,Woman,United States of America,Other
25-29,Man,China,Data Analyst
30-34,Man,China,Machine Learning Engineer
22-24,Man,India,Data Scientist
25-29,Woman,China,Machine Learning Engineer
18-21,Man,United Kingdom of Great Britain and Northern Ireland,Student
60-69,Man,Poland,Software Engineer
25-29,Man,Other,Student
40-44,Man,Japan,Data Scientist
30-34,Man,Argentina,Data Scientist
35-39,Man,United States of America,Data Scientist
22-24,Man,China,Data Scientist
50-54,Woman,Japan,Business Analyst
30-34,Man,Israel,Data Engineer
18-21,Man,India,Student
25-29,Woman,Greece,Student
25-29,Man,Thailand,Data Scientist
25-29,Man,Nigeria,Research Scientist
30-34,Man,France,Data Scientist
30-34,Man,Other,DBA/Database Engineer
40-44,Man,India,Program/Project Manager
30-34,Man,Thailand,Student
35-39,Man,Ukraine,Data Scientist
60-69,Man,Canada,Software Engineer
60-69,Man,United States of America,DBA/Database Engineer
22-24,Woman,India,Data Analyst
18-21,Man,India,Student
25-29,Woman,Turkey,Data Scientist
30-34,Man,Russia,Other
18-21,Man,India,Student
18-21,Man,China,Student
40-44,Man,Switzerland,Other
18-21,Man,Russia,Data Scientist
30-34,Prefer not to say,Israel,Data Scientist
25-29,Man,United States of America,Research Scientist
22-24,Man,Nigeria,Student
25-29,Man,India,Data Scientist
30-34,Man,Argentina,Other
22-24,Man,China,Student
35-39,Man,Other,Software Engineer
40-44,Man,Other,Research Scientist
35-39,Woman,Other,Data Analyst
22-24,Man,China,Student
35-39,Man,United States of America,Other
40-44,Woman,Turkey,Business Analyst
35-39,Man,United States of America,Statistician
22-24,Man,Turkey,Program/Project Manager
18-21,Man,Viet Nam,Student
25-29,Man,Russia,Currently not employed
25-29,Man,Nigeria,Data Scientist
18-21,Woman,India,Student
25-29,Man,India,Data Analyst
40-44,Man,Israel,Program/Project Manager
60-69,Man,United States of America,DBA/Database Engineer
18-21,Man,India,Student
30-34,Man,Turkey,Student
55-59,Man,Japan,Other
25-29,Woman,Russia,Data Scientist
60-69,Man,United States of America,Data Analyst
35-39,Man,India,Software Engineer
45-49,Man,Poland,Program/Project Manager
18-21,Man,Egypt,Student
50-54,Man,Ireland,Other
18-21,Man,United States of America,Student
35-39,Man,Hong Kong (S.A.R.),Software Engineer
30-34,Man,Russia,Data Scientist
50-54,Man,India,Data Analyst
30-34,Woman,Pakistan,Machine Learning Engineer
50-54,Woman,United Arab Emirates,Data Scientist
35-39,Woman,India,Other
30-34,Man,China,Machine Learning Engineer
40-44,Man,Other,Software Engineer
45-49,Man,Other,Currently not employed
22-24,Man,Ukraine,Software Engineer
50-54,Man,Algeria,Other
22-24,Man,India,Software Engineer
22-24,Man,Bangladesh,Student
35-39,Woman,United States of America,Data Analyst
22-24,Man,United Kingdom of Great Britain and Northern Ireland,Data Engineer
25-29,Man,Nigeria,Data Analyst
18-21,Man,Other,Student
25-29,Man,France,Data Scientist
30-34,Man,Other,Data Scientist
45-49,Man,Thailand,Currently not employed
40-44,Man,India,Program/Project Manager
18-21,Man,India,Student
30-34,Man,Colombia,Data Analyst
45-49,Man,Spain,Other
35-39,Man,Malaysia,Currently not employed
25-29,Man,United Kingdom of Great Britain and Northern Ireland,Data Scientist
55-59,Man,Japan,Other
45-49,Man,United States of America,Software Engineer
30-34,Woman,United States of America,Business Analyst
25-29,Man,Viet Nam,Student
30-34,Man,Saudi Arabia,Data Scientist
40-44,Man,India,Data Scientist
22-24,Man,Viet Nam,Student
18-21,Woman,India,Student
30-34,Man,Belgium,Research Scientist
40-44,Man,Nigeria,Machine Learning Engineer
30-34,Woman,China,Business Analyst
18-21,Man,India,Student
25-29,Man,Other,Research Scientist
40-44,Man,United Kingdom of Great Britain and Northern Ireland,Software Engineer
50-54,Man,Brazil,Research Scientist
25-29,Man,India,Data Analyst
22-24,Man,Bangladesh,Data Engineer
35-39,Prefer not to say,Other,Student
18-21,Man,India,Software Engineer
22-24,Man,Bangladesh,Data Scientist
30-34,Man,Australia,Student
22-24,Man,Singapore,Other
40-44,Man,India,Research Scientist
60-69,Man,Japan,Other
25-29,Man,Brazil,Data Analyst
25-29,Man,Colombia,Software Engineer
50-54,Man,Turkey,Other
40-44,Man,Canada,Program/Project Manager
25-29,Man,Ghana,Other
22-24,Woman,India,Student
22-24,Man,India,Student
18-21,Man,India,Student
18-21,Man,Algeria,Student
25-29,Man,South Korea,Student
35-39,Man,Kenya,Student
35-39,Man,United States of America,Product Manager
30-34,Man,Other,Data Analyst
25-29,Woman,Turkey,Currently not employed
40-44,Man,Nigeria,Other
25-29,Woman,India,Software Engineer
25-29,Man,United States of America,Data Analyst
35-39,Man,Brazil,Data Scientist
40-44,Man,Egypt,Machine Learning Engineer
70+,Man,Japan,Program/Project Manager
22-24,Man,India,Other
22-24,Woman,India,Student
25-29,Man,Saudi Arabia,Program/Project Manager
50-54,Man,Germany,Other
18-21,Man,India,Student
30-34,Woman,Sweden,Machine Learning Engineer
40-44,Man,Japan,Software Engineer
25-29,Man,South Korea,Student
18-21,Man,India,Student
40-44,Woman,Canada,Other
30-34,Man,Turkey,Data Scientist
18-21,Man,India,Student
55-59,Man,Japan,Other
22-24,Woman,Morocco,Statistician
25-29,Woman,Sri Lanka,Data Analyst
25-29,Man,Other,Student
18-21,Man,Russia,Data Scientist
25-29,Man,Japan,Research Scientist
18-21,Man,Pakistan,Machine Learning Engineer
18-21,Man,India,Data Analyst
22-24,Man,Spain,Student
35-39,Man,Canada,Student
18-21,Man,Peru,Business Analyst
22-24,Man,Viet Nam,Student
35-39,Man,Malaysia,Other
50-54,Man,Germany,Product Manager
35-39,Woman,India,Student
25-29,Man,South Korea,Software Engineer
55-59,Man,South Korea,Machine Learning Engineer
25-29,Man,Viet Nam,Machine Learning Engineer
50-54,Man,Other,Program/Project Manager
18-21,Man,India,Data Scientist
22-24,Man,Germany,Student
18-21,Woman,India,Student
18-21,Man,Other,Student
40-44,Woman,Italy,Data Scientist
25-29,Woman,India,Data Scientist
45-49,Man,India,Software Engineer
25-29,Man,India,Data Scientist
25-29,Man,Spain,Data Scientist
22-24,Man,India,Currently not employed
30-34,Man,Colombia,Software Engineer
35-39,Woman,Egypt,Machine Learning Engineer
40-44,Man,Germany,Program/Project Manager
25-29,Woman,India,Software Engineer
22-24,Man,United States of America,Data Scientist
18-21,Woman,Colombia,Student
22-24,Man,Egypt,Machine Learning Engineer
45-49,Man,Japan,Data Scientist
18-21,Woman,India,Student
25-29,Man,India,Data Scientist
30-34,Man,India,Currently not employed
55-59,Man,Singapore,Data Scientist
25-29,Man,Ukraine,Currently not employed
22-24,Man,Other,Data Analyst
18-21,Man,India,Student
25-29,Man,Poland,Student
18-21,Man,India,Student
18-21,Man,"Iran, Islamic Republic of...",Student
35-39,Man,Ukraine,Software Engineer
30-34,Man,Kenya,Student
25-29,Man,Nigeria,Student
30-34,Woman,"Iran, Islamic Republic of...",Machine Learning Engineer
18-21,Woman,Brazil,Data Analyst
18-21,Woman,India,Data Scientist
30-34,Man,Other,Currently not employed
40-44,Man,United States of America,Statistician
22-24,Man,India,Data Analyst
35-39,Man,India,Currently not employed
30-34,Man,India,Software Engineer
22-24,Man,India,Student
35-39,Man,United Kingdom of Great Britain and Northern Ireland,Other
55-59,Man,Switzerland,Program/Project Manager
35-39,Woman,United States of America,Data Scientist
30-34,Man,Other,Currently not employed
30-34,Man,India,Software Engineer
25-29,Man,Argentina,Student
25-29,Man,Indonesia,Program/Project Manager
25-29,Man,India,Student
25-29,Woman,Other,Research Scientist
60-69,Man,United Kingdom of Great Britain and Northern Ireland,Business Analyst
30-34,Woman,United Kingdom of Great Britain and Northern Ireland,Data Scientist
22-24,Woman,United States of America,Other
45-49,Man,Colombia,Machine Learning Engineer
22-24,Man,Poland,Software Engineer
25-29,Man,Japan,Other
30-34,Woman,France,Student
30-34,Man,Japan,Currently not employed
22-24,Man,Nigeria,Currently not employed
30-34,Man,United States of America,Data Scientist
30-34,Man,Germany,Data Scientist
25-29,Man,Singapore,Data Analyst
22-24,Woman,India,Data Scientist
18-21,Man,India,Student
22-24,Man,Bangladesh,Student
30-34,Man,India,Program/Project Manager
25-29,Woman,Nigeria,Student
18-21,Woman,India,Data Scientist
35-39,Man,India,Software Engineer
22-24,Woman,India,Currently not employed
30-34,Man,India,Other
18-21,Man,India,Data Scientist
60-69,Man,South Africa,Other
25-29,Man,South Korea,Research Scientist
45-49,Man,United Kingdom of Great Britain and Northern Ireland,Software Engineer
25-29,Woman,India,DBA/Database Engineer
50-54,Man,Spain,Data Analyst
18-21,Woman,India,Student
45-49,Man,Other,Data Scientist
18-21,Man,India,Currently not employed
18-21,Man,Taiwan,Student
50-54,Man,South Korea,Currently not employed
50-54,Man,Japan,Program/Project Manager
25-29,Man,Spain,Currently not employed
30-34,Man,Brazil,Currently not employed
25-29,Woman,Taiwan,Student
25-29,Woman,Bangladesh,Currently not employed
18-21,Man,India,Student
18-21,Man,United States of America,Student
25-29,Woman,Greece,Student
18-21,Man,India,Student
30-34,Man,Other,Business Analyst
30-34,Woman,India,Business Analyst
40-44,Woman,India,Other
25-29,Man,India,Student
35-39,Woman,India,Other
18-21,Man,India,Student
30-34,Man,Japan,Data Scientist
22-24,Man,China,Data Analyst
25-29,Man,Japan,Student
22-24,Man,Nigeria,Currently not employed
18-21,Man,United Kingdom of Great Britain and Northern Ireland,Machine Learning Engineer
22-24,Woman,India,Other
25-29,Man,Nigeria,Other
25-29,Man,United States of America,Student
50-54,Man,Taiwan,Statistician
60-69,Man,Other,Currently not employed
22-24,Man,India,Student
25-29,Man,Spain,Data Engineer
25-29,Man,United States of America,Student
30-34,Man,Other,Machine Learning Engineer
18-21,Man,India,Student
50-54,Woman,Colombia,Other
18-21,Woman,India,Student
55-59,Man,Japan,Currently not employed
25-29,Man,Colombia,Other
22-24,Man,Bangladesh,Machine Learning Engineer
55-59,Man,Italy,Software Engineer
25-29,Woman,India,Data Scientist
25-29,Man,Pakistan,Student
40-44,Woman,India,Other
18-21,Man,Pakistan,Student
40-44,Man,Turkey,Research Scientist
30-34,Man,India,Data Analyst
18-21,Man,United States of America,Student
30-34,Man,Colombia,Software Engineer
30-34,Man,China,Data Engineer
30-34,Man,Brazil,Business Analyst
22-24,Woman,United Kingdom of Great Britain and Northern Ireland,Software Engineer
30-34,Man,India,Other
35-39,Woman,Portugal,Student
30-34,Man,United Kingdom of Great Britain and Northern Ireland,Data Analyst
50-54,Man,Singapore,Research Scientist
40-44,Man,South Korea,Software Engineer
18-21,Man,India,Student
30-34,Man,Other,Data Scientist
25-29,Man,Turkey,Other
35-39,Man,Pakistan,Business Analyst
25-29,Man,United States of America,Student
25-29,Man,India,Currently not employed
50-54,Man,United States of America,Data Scientist
18-21,Man,India,Student
60-69,Man,United States of America,Software Engineer
35-39,Man,Indonesia,Other
35-39,Man,United States of America,Other
35-39,Man,Netherlands,Software Engineer
25-29,Man,Russia,Other
25-29,Man,Brazil,Business Analyst
30-34,Woman,United States of America,Data Scientist
35-39,Man,India,Data Analyst
30-34,Man,United States of America,Software Engineer
25-29,Man,Other,Data Scientist
25-29,Man,Other,Data Scientist
18-21,Woman,Pakistan,Software Engineer
45-49,Man,Indonesia,Currently not employed
30-34,Woman,Germany,Other
25-29,Prefer not to say,Other,Data Analyst
55-59,Man,Germany,Data Scientist
25-29,Woman,I do not wish to disclose my location,Data Scientist
25-29,Man,United States of America,Software Engineer
40-44,Man,Spain,Research Scientist
18-21,Man,Other,Student
35-39,Woman,Russia,Data Scientist
25-29,Man,India,Machine Learning Engineer
18-21,Man,India,Data Scientist
40-44,Man,Brazil,Program/Project Manager
18-21,Man,Iraq,Student
30-34,Man,Indonesia,Other
45-49,Man,United States of America,Other
40-44,Man,Spain,Student
22-24,Woman,India,Student
22-24,Man,India,Software Engineer
35-39,Man,Portugal,Research Scientist
70+,Man,Israel,Program/Project Manager
22-24,Man,Egypt,Currently not employed
30-34,Man,India,Research Scientist
45-49,Man,Japan,Software Engineer
18-21,Man,India,Student
18-21,Man,India,Student
55-59,Man,United Kingdom of Great Britain and Northern Ireland,Statistician
18-21,Man,China,Software Engineer
18-21,Man,United Kingdom of Great Britain and Northern Ireland,Student
22-24,Man,India,Research Scientist
30-34,Man,Pakistan,Other
35-39,Man,Canada,Data Analyst
18-21,Prefer not to say,United States of America,Student
35-39,Man,India,Product Manager
40-44,Man,Russia,Data Scientist
22-24,Man,India,Machine Learning Engineer
45-49,Man,Brazil,Currently not employed
25-29,Man,Pakistan,Currently not employed
70+,Man,United States of America,Other
30-34,Man,Peru,Other
25-29,Man,Colombia,Data Analyst
35-39,Man,Brazil,Research Scientist
18-21,Man,India,Student
30-34,Man,Poland,Data Scientist
18-21,Man,India,Student
40-44,Man,United States of America,Research Scientist
22-24,Man,United States of America,Student
22-24,Man,Other,Research Scientist
25-29,Man,Nigeria,Currently not employed
22-24,Woman,India,Software Engineer
30-34,Man,Japan,Data Engineer
18-21,Man,India,Data Scientist
22-24,Man,India,Business Analyst
22-24,Man,Other,Student
45-49,Woman,Other,Currently not employed
35-39,Man,India,Currently not employed
18-21,Woman,India,Business Analyst
50-54,Man,Thailand,Currently not employed
50-54,Man,United Kingdom of Great Britain and Northern Ireland,Other
35-39,Man,Japan,Data Engineer
40-44,Man,India,Data Scientist
35-39,Man,United Kingdom of Great Britain and Northern Ireland,Student
22-24,Man,Bangladesh,Data Analyst
30-34,Man,China,Data Analyst
22-24,Man,Other,Statistician
18-21,Woman,South Korea,Student
18-21,Man,United States of America,Student
40-44,Man,Japan,Machine Learning Engineer
18-21,Man,India,Student
30-34,Man,France,Data Analyst
18-21,Man,India,Student
25-29,Man,Uganda,Machine Learning Engineer
18-21,Man,Other,Data Scientist
40-44,Man,United States of America,Research Scientist
22-24,Man,Egypt,Data Scientist
30-34,Man,India,Business Analyst
18-21,Woman,Egypt,Machine Learning Engineer
22-24,Man,Bangladesh,Student
35-39,Man,Brazil,Currently not employed
18-21,Man,India,Student
45-49,Man,India,Other
35-39,Man,Taiwan,Data Scientist
25-29,Woman,India,Currently not employed
25-29,Man,United Kingdom of Great Britain and Northern Ireland,Data Scientist
50-54,Woman,India,Currently not employed
25-29,Woman,Nepal,Student
22-24,Woman,Poland,Currently not employed
25-29,Woman,China,Student
70+,Man,United Kingdom of Great Britain and Northern Ireland,Currently not employed
18-21,Man,India,Student
25-29,Man,Spain,Machine Learning Engineer
30-34,Woman,India,Research Scientist
50-54,Man,United Kingdom of Great Britain and Northern Ireland,Currently not employed
25-29,Man,Poland,Software Engineer
22-24,Man,Bangladesh,Software Engineer
18-21,Woman,Egypt,Student
25-29,Man,India,Data Scientist
25-29,Man,India,Research Scientist
60-69,Woman,United States of America,Data Analyst
25-29,Man,Other,Currently not employed
22-24,Man,India,Student
18-21,Man,Japan,Student
25-29,Man,Other,Student
35-39,Woman,Switzerland,Research Scientist
25-29,Man,India,Other
35-39,Man,Thailand,Business Analyst
35-39,Man,Belgium,Data Engineer
25-29,Man,Other,Machine Learning Engineer
25-29,Woman,India,Student
22-24,Woman,India,Data Analyst
25-29,Man,Russia,Currently not employed
35-39,Man,Other,Other
18-21,Man,Ukraine,Student
25-29,Man,India,Data Scientist
30-34,Woman,United States of America,Statistician
22-24,Man,India,Currently not employed
18-21,Man,Other,Student
30-34,Man,Nigeria,Statistician
45-49,Man,Spain,Program/Project Manager
50-54,Man,Spain,Other
25-29,Woman,Singapore,Data Analyst
45-49,Man,Germany,Program/Project Manager
30-34,Man,South Africa,Data Scientist
22-24,Man,United States of America,Data Scientist
30-34,Woman,Ukraine,Other
18-21,Man,Bangladesh,Student
22-24,Man,China,Student
50-54,Man,United States of America,Software Engineer
18-21,Man,India,Student
60-69,Man,Austria,Research Scientist
30-34,Man,United Arab Emirates,Data Analyst
22-24,Man,Bangladesh,Software Engineer
40-44,Woman,Other,Research Scientist
22-24,Man,India,Student
50-54,Man,Australia,Data Scientist
40-44,Man,India,Data Analyst
25-29,Man,Sri Lanka,Machine Learning Engineer
25-29,Man,India,Currently not employed
35-39,Woman,Nigeria,Research Scientist
18-21,Man,Canada,Student
50-54,Man,Indonesia,Other
30-34,Man,Malaysia,Other
30-34,Man,Other,Research Scientist
22-24,Woman,Nepal,Machine Learning Engineer
22-24,Woman,Bangladesh,Student
22-24,Woman,Turkey,Student
22-24,Man,Colombia,Student
50-54,Woman,United States of America,Data Scientist
45-49,Man,United States of America,Developer Relations/Advocacy
22-24,Man,India,Machine Learning Engineer
30-34,Man,Pakistan,Student
18-21,Man,Indonesia,DBA/Database Engineer
40-44,Man,Germany,Program/Project Manager
25-29,Prefer not to say,India,Currently not employed
18-21,Man,Bangladesh,Student
25-29,Man,Brazil,Business Analyst
18-21,Man,India,Student
18-21,Man,Canada,Other
18-21,Woman,Ghana,Student
55-59,Man,United States of America,Software Engineer
22-24,Man,China,Student
18-21,Man,India,Student
30-34,Woman,France,Statistician
30-34,Man,Japan,Data Analyst
18-21,Man,Russia,Student
18-21,Man,India,Student
18-21,Man,Brazil,Student
25-29,Man,Singapore,Other
22-24,Man,India,Student
30-34,Man,Pakistan,Other
25-29,Woman,Other,Machine Learning Engineer
40-44,Man,United States of America,Software Engineer
25-29,Man,Nigeria,Business Analyst
22-24,Man,India,Data Analyst
45-49,Man,Iraq,Machine Learning Engineer
40-44,Woman,United States of America,Data Scientist
22-24,Man,India,Student
55-59,Man,Spain,Research Scientist
50-54,Man,Netherlands,Machine Learning Engineer
25-29,Woman,India,Software Engineer
45-49,Man,Japan,Program/Project Manager
18-21,Man,United States of America,Student
22-24,Man,Bangladesh,Student
25-29,Man,India,Data Scientist
18-21,Man,Brazil,Student
45-49,Man,United Kingdom of Great Britain and Northern Ireland,Software Engineer
18-21,Man,France,Student
30-34,Man,India,Data Scientist
22-24,Man,Japan,Data Scientist
50-54,Woman,United States of America,Statistician
30-34,Man,India,Machine Learning Engineer
30-34,Woman,Tunisia,Data Scientist
40-44,Man,Other,Program/Project Manager
45-49,Woman,Greece,Data Scientist
25-29,Woman,Pakistan,Software Engineer
18-21,Man,Nigeria,Currently not employed
55-59,Man,Other,Data Engineer
25-29,Man,India,Program/Project Manager
40-44,Woman,Egypt,Other
30-34,Man,India,Product Manager
22-24,Woman,India,Currently not employed
18-21,Woman,India,Student
30-34,Woman,Germany,Research Scientist
22-24,Man,United States of America,Student
25-29,Man,India,Business Analyst
18-21,Man,India,Student
18-21,Man,India,Student
22-24,Man,Egypt,Other
22-24,Man,India,Student
25-29,Man,India,Other
18-21,Man,Spain,Software Engineer
50-54,Man,Chile,Developer Relations/Advocacy
18-21,Man,China,Research Scientist
25-29,Man,Bangladesh,Research Scientist
18-21,Man,Viet Nam,Student
25-29,Man,South Korea,Currently not employed
22-24,Man,China,Student
30-34,Woman,Norway,Student
25-29,Man,United States of America,Statistician
25-29,Man,Viet Nam,Machine Learning Engineer
25-29,Man,Japan,Software Engineer
22-24,Man,India,Student
22-24,Woman,Taiwan,Data Analyst
22-24,Man,Japan,Machine Learning Engineer
60-69,Man,India,Other
22-24,Man,France,Machine Learning Engineer
25-29,Woman,Germany,Data Analyst
60-69,Man,Russia,Program/Project Manager
30-34,Man,Russia,Program/Project Manager
30-34,Woman,India,Data Scientist
30-34,Man,Mexico,Currently not employed
25-29,Man,Japan,Software Engineer
45-49,Man,Norway,Data Scientist
25-29,Man,India,Product Manager
25-29,Woman,Kenya,Data Scientist
18-21,Man,India,Data Analyst
25-29,Man,Brazil,Other
22-24,Man,India,Software Engineer
22-24,Woman,Philippines,Student
40-44,Woman,United States of America,Research Scientist
22-24,Prefer not to say,China,Developer Relations/Advocacy
30-34,Man,India,Program/Project Manager
35-39,Man,Taiwan,Data Analyst
18-21,Woman,India,Student
45-49,Man,Italy,Business Analyst
18-21,Woman,India,Student
18-21,Woman,Indonesia,Student
22-24,Man,India,Business Analyst
22-24,Woman,Other,Other
18-21,Man,India,Student
18-21,Man,India,Currently not employed
22-24,Man,Egypt,Research Scientist
18-21,Man,Pakistan,Student
25-29,Man,India,Data Analyst
22-24,Woman,United States of America,Student
18-21,Man,Nigeria,Student
30-34,Man,India,Other
25-29,Man,Turkey,Software Engineer
30-34,Man,Egypt,Business Analyst
40-44,Man,Ghana,Software Engineer
18-21,Woman,Germany,Student
18-21,Woman,India,Student
55-59,Man,United States of America,Software Engineer
22-24,Man,India,Data Analyst
45-49,Man,United States of America,Other
30-34,Woman,United States of America,Data Scientist
25-29,Woman,Germany,Data Analyst
18-21,Man,China,Student
40-44,Woman,Mexico,Data Scientist
50-54,Man,United States of America,Other
22-24,Man,Uganda,Software Engineer
25-29,Woman,Portugal,Machine Learning Engineer
22-24,Man,India,Currently not employed
18-21,Man,India,Student
18-21,Man,Russia,Student
60-69,Man,United States of America,Research Scientist
25-29,Man,United States of America,Student
22-24,Woman,India,Currently not employed
40-44,Man,Japan,Data Scientist
30-34,Man,Other,Software Engineer
