,Response Time,Age,Gender,Country,Education,Job Title,Experience,Investment,Compensation,Salary
6118,360,30-34,Man,Thailand,Master’s degree,Business Analyst,10-20 years,"$10,000-$99,999","100,000-124,999",120000.0
6119,1577,45-49,Man,Ukraine,Doctoral degree,Data Scientist,3-5 years,$100-$999,"10,000-14,999",12000.0
6120,821,30-34,Man,France,Master’s degree,Machine Learning Engineer,5-10 years,$100-$999,"60,000-69,999",65000.0
6121,623,22-24,Woman,Turkey,Master’s degree,Other,3-5 years,$0 ($USD),$0-999,500.0
6122,2682,30-34,Man,India,Professional doctorate,Data Scientist,3-5 years,"$10,000-$99,999","7,500-9,999",8500.0
6123,802,30-34,Man,Other,Master’s degree,Machine Learning Engineer,5-10 years,"$100,000 or more ($USD)","50,000-59,999",55000.0
6124,696,22-24,Man,Spain,Bachelor’s degree,Student,< 1 years,,,
6125,803,30-34,Man,France,Doctoral degree,Data Engineer,5-10 years,$100-$999,"50,000-59,999",55000.0
6126,691,18-21,Woman,India,Some college/university study without earning a bachelor’s degree,Student,3-5 years,,,
6127,191,18-21,Man,India,Bachelor’s degree,Student,1-3 years,,,
6128,601,50-54,Man,Spain,Master’s degree,Other,10-20 years,$1-$99,$0-999,500.0
6129,772,50-54,Man,Taiwan,Bachelor’s degree,Currently not employed,< 1 years,,,
6130,556,22-24,Man,China,Master’s degree,Student,3-5 years,,,
6131,1015,30-34,Man,India,Master’s degree,Data Scientist,3-5 years,$1-$99,"15,000-19,999",17000.0
6132,468192,35-39,Man,Spain,Master’s degree,Data Analyst,10-20 years,,,
6133,512,18-21,Man,India,Some college/university study without earning a bachelor’s degree,Student,1-3 years,,,
6134,543,25-29,Man,India,Bachelor’s degree,Software Engineer,5-10 years,$0 ($USD),"2,000-2,999",25000.0
6135,308,18-21,Man,United States of America,Bachelor’s degree,Student,3-5 years,,,
6136,634,40-44,Man,Kazakhstan,Bachelor’s degree,Business Analyst,< 1 years,$0 ($USD),"50,000-59,999",55000.0
6137,433,45-49,Man,India,Master’s degree,Program/Project Manager,3-5 years,,,
6138,241508,35-39,Woman,United States of America,Bachelor’s degree,Student,5-10 years,,,
6139,458,25-29,Man,France,Master’s degree,Other,< 1 years,"$100,000 or more ($USD)","40,000-49,999",45000.0
6140,366,18-21,Man,India,Bachelor’s degree,Student,< 1 years,,,
6141,11174,22-24,Man,Germany,Bachelor’s degree,Student,1-3 years,,,
6142,797,60-69,Man,United States of America,Master’s degree,Other,< 1 years,$0 ($USD),"70,000-79,999",75000.0
6143,371,40-44,Man,Russia,Master’s degree,Program/Project Manager,5-10 years,,,
6144,541,35-39,Woman,India,Doctoral degree,Student,< 1 years,,,
6145,2553,25-29,Woman,United States of America,Master’s degree,Student,1-3 years,,,
6146,601,25-29,Woman,China,Master’s degree,Data Analyst,< 1 years,"$1000-$9,999","10,000-14,999",12000.0
6147,495734,55-59,Man,Italy,Bachelor’s degree,Software Engineer,20+ years,$0 ($USD),"20,000-24,999",23000.0
6148,676,22-24,Man,India,Bachelor’s degree,DBA/Database Engineer,< 1 years,$1-$99,"3,000-3,999",3500.0
6149,2922,18-21,Man,China,Bachelor’s degree,Currently not employed,1-3 years,,,
6150,577,50-54,Man,Spain,Doctoral degree,Research Scientist,20+ years,"$100,000 or more ($USD)","90,000-99,999",95000.0
6151,536,30-34,Man,Ukraine,No formal education past high school,Data Analyst,< 1 years,$0 ($USD),"2,000-2,999",25000.0
6152,464,35-39,Man,Taiwan,Bachelor’s degree,Data Scientist,< 1 years,$0 ($USD),$0-999,500.0
6153,370,45-49,Man,United States of America,Master’s degree,Business Analyst,1-3 years,"$10,000-$99,999","200,000-249,999",225000.0
6154,437,50-54,Man,United States of America,Doctoral degree,Product Manager,20+ years,"$10,000-$99,999","100,000-124,999",120000.0
6155,1325,25-29,Man,Taiwan,Master’s degree,Student,1-3 years,,,
6156,1563,40-44,Man,Russia,Master’s degree,Software Engineer,20+ years,$0 ($USD),"15,000-19,999",17000.0
6157,917,35-39,Man,Other,Bachelor’s degree,Data Analyst,1-3 years,$0 ($USD),"10,000-14,999",12000.0
6158,1275,45-49,Prefer not to say,Netherlands,Master’s degree,Other,5-10 years,$1-$99,"80,000-89,999",85000.0
6159,389,30-34,Woman,Other,Master’s degree,Student,3-5 years,,,
6160,2542,50-54,Man,Israel,Doctoral degree,Data Scientist,10-20 years,"$100,000 or more ($USD)","300,000-499,999",500000.0
6161,2873,22-24,Woman,Egypt,Master’s degree,Software Engineer,1-3 years,,,
6162,345,35-39,Man,Belarus,Master’s degree,Software Engineer,5-10 years,$0 ($USD),"50,000-59,999",55000.0
6163,2338,30-34,Man,India,Master’s degree,Business Analyst,< 1 years,$0 ($USD),"1,000-1,999",1500.0
6164,136,22-24,Man,India,Master’s degree,Student,1-3 years,,,
6165,559,25-29,Woman,Algeria,Master’s degree,Software Engineer,1-3 years,,,
6166,15754,25-29,Man,Bangladesh,Master’s degree,Software Engineer,3-5 years,$0 ($USD),"2,000-2,999",25000.0
6167,1049,30-34,Woman,France,Master’s degree,Data Analyst,1-3 years,"$1000-$9,999","1,000-1,999",1500.0
6168,763,22-24,Man,Bangladesh,Bachelor’s degree,Machine Learning Engineer,< 1 years,$0 ($USD),"2,000-2,999",25000.0
6169,699,40-44,Man,India,Master’s degree,Business Analyst,< 1 years,"$1000-$9,999","30,000-39,999",35000.0
6170,531,70+,Man,United States of America,Master’s degree,Currently not employed,20+ years,,,
6171,449,18-21,Man,India,Bachelor’s degree,Data Scientist,1-3 years,$0 ($USD),$0-999,500.0
6172,419,18-21,Man,India,Bachelor’s degree,Student,1-3 years,,,
6173,270,18-21,Woman,India,Bachelor’s degree,Data Scientist,1-3 years,,$0-999,500.0
6174,575,18-21,Man,Morocco,Master’s degree,Data Engineer,1-3 years,$0 ($USD),$0-999,500.0
6175,741,18-21,Man,United States of America,Some college/university study without earning a bachelor’s degree,Student,3-5 years,,,
6176,3097,25-29,Man,Ghana,Master’s degree,Student,1-3 years,,,
6177,38322,25-29,Man,Poland,Master’s degree,Data Analyst,3-5 years,$1-$99,"50,000-59,999",55000.0
6178,268,25-29,Man,China,Master’s degree,Student,< 1 years,,,
6179,743,18-21,Man,India,Bachelor’s degree,Student,< 1 years,,,
6180,2659,35-39,Woman,Ukraine,Master’s degree,Data Scientist,10-20 years,"$100,000 or more ($USD)","30,000-39,999",35000.0
6181,322,18-21,Man,India,Bachelor’s degree,Student,< 1 years,,,
6182,560,25-29,Man,United States of America,Bachelor’s degree,Other,3-5 years,"$100,000 or more ($USD)","80,000-89,999",85000.0
6183,1987,45-49,Man,South Africa,Bachelor’s degree,Business Analyst,3-5 years,$0 ($USD),"30,000-39,999",35000.0
6184,214,18-21,Woman,India,Bachelor’s degree,Student,1-3 years,,,
6185,672,35-39,Man,Brazil,Bachelor’s degree,Data Scientist,3-5 years,$100-$999,"20,000-24,999",23000.0
6186,385,18-21,Man,India,Bachelor’s degree,Student,3-5 years,,,
6187,798,50-54,Man,Japan,Master’s degree,Currently not employed,1-3 years,,,
6188,1633,18-21,Man,India,Bachelor’s degree,Student,1-3 years,,,
6189,1377,35-39,Woman,"Iran, Islamic Republic of...",Doctoral degree,Software Engineer,5-10 years,$0 ($USD),"2,000-2,999",25000.0
6190,781427,45-49,Man,Russia,Master’s degree,Software Engineer,20+ years,,,
6191,574,18-21,Man,Indonesia,Bachelor’s degree,Student,1-3 years,,,
6192,351,22-24,Man,United States of America,Master’s degree,Student,3-5 years,,,
6193,892,25-29,Man,India,Master’s degree,Business Analyst,< 1 years,$0 ($USD),"7,500-9,999",8500.0
6194,1411,35-39,Woman,United Kingdom of Great Britain and Northern Ireland,Doctoral degree,Research Scientist,5-10 years,$0 ($USD),$0-999,500.0
6195,822,22-24,Woman,Other,Bachelor’s degree,Student,3-5 years,,,
6196,601,35-39,Woman,United States of America,Master’s degree,Data Analyst,1-3 years,"$10,000-$99,999","70,000-79,999",75000.0
6197,120,18-21,Woman,India,Bachelor’s degree,Student,3-5 years,,,
6198,462942,25-29,Man,Switzerland,Master’s degree,Data Scientist,3-5 years,"$1000-$9,999","100,000-124,999",120000.0
6199,873,18-21,Woman,China,Master’s degree,Student,1-3 years,,,
6200,1283,25-29,Man,United States of America,Some college/university study without earning a bachelor’s degree,Data Analyst,< 1 years,"$10,000-$99,999","4,000-4,999",4500.0
6201,402,18-21,Woman,India,Master’s degree,Student,< 1 years,,,
6202,178,18-21,Man,India,Bachelor’s degree,Student,1-3 years,,,
6203,1299,45-49,Man,Brazil,Master’s degree,Other,1-3 years,$1-$99,"70,000-79,999",75000.0
6204,859,45-49,Man,United States of America,Master’s degree,Business Analyst,20+ years,$0 ($USD),"125,000-149,999",132000.0
6205,474,35-39,Man,United States of America,Bachelor’s degree,Data Scientist,10-20 years,$0 ($USD),"200,000-249,999",225000.0
6206,640,22-24,Man,India,Master’s degree,Business Analyst,1-3 years,$0 ($USD),"4,000-4,999",4500.0
6207,1193,35-39,Man,Spain,Doctoral degree,Research Scientist,1-3 years,$0 ($USD),"1,000-1,999",1500.0
6208,504,40-44,Man,United States of America,Master’s degree,Other,1-3 years,$0 ($USD),"50,000-59,999",55000.0
6209,367,22-24,Man,India,Master’s degree,Student,< 1 years,,,
6210,287,35-39,Woman,United States of America,Some college/university study without earning a bachelor’s degree,Currently not employed,< 1 years,,,
6211,999,45-49,Woman,United States of America,Master’s degree,Software Engineer,20+ years,$100-$999,"100,000-124,999",120000.0
6212,629,40-44,Man,India,Master’s degree,Software Engineer,5-10 years,$1-$99,"1,000-1,999",1500.0
6213,672,35-39,Man,United States of America,Bachelor’s degree,Other,< 1 years,$0 ($USD),"50,000-59,999",55000.0
6214,1356,22-24,Man,India,Master’s degree,Student,3-5 years,,,
6215,826,18-21,Man,India,Some college/university study without earning a bachelor’s degree,Student,1-3 years,,,
6216,709,22-24,Man,Italy,Bachelor’s degree,Student,1-3 years,,,
6217,760,55-59,Man,Brazil,Doctoral degree,Research Scientist,20+ years,"$100,000 or more ($USD)","50,000-59,999",55000.0
6218,786,25-29,Man,Egypt,Bachelor’s degree,Data Scientist,1-3 years,$100-$999,"7,500-9,999",8500.0
6219,187,22-24,Man,South Korea,Master’s degree,Currently not employed,3-5 years,,,
6220,476,25-29,Man,India,Professional doctorate,Research Scientist,5-10 years,$0 ($USD),$0-999,500.0
6221,1373,22-24,Woman,India,Bachelor’s degree,Software Engineer,1-3 years,$100-$999,"5,000-7,499",65000.0
6222,701,22-24,Man,Pakistan,Bachelor’s degree,Student,< 1 years,,,
6223,323,22-24,Man,India,Bachelor’s degree,Currently not employed,< 1 years,,,
6224,2016,50-54,Man,Japan,I prefer not to answer,Software Engineer,20+ years,"$10,000-$99,999","80,000-89,999",85000.0
6225,342,40-44,Man,United States of America,Master’s degree,Student,3-5 years,,,
6226,777,40-44,Man,Canada,Master’s degree,Business Analyst,< 1 years,$100-$999,"40,000-49,999",45000.0
6227,421,22-24,Man,Pakistan,Some college/university study without earning a bachelor’s degree,Developer Relations/Advocacy,< 1 years,$0 ($USD),$0-999,500.0
6228,241,22-24,Man,India,Master’s degree,Student,1-3 years,,,
6229,1311,35-39,Man,India,Master’s degree,Currently not employed,1-3 years,,,
6230,438,45-49,Man,Turkey,Bachelor’s degree,Software Engineer,20+ years,$0 ($USD),"10,000-14,999",12000.0
6231,270,30-34,Woman,Mexico,Master’s degree,Software Engineer,5-10 years,,,
6232,503,35-39,Woman,United States of America,Master’s degree,Data Scientist,10-20 years,$1-$99,"100,000-124,999",120000.0
6233,236,25-29,Man,Other,Master’s degree,Data Analyst,1-3 years,,,
6234,939,30-34,Man,Ghana,Master’s degree,Research Scientist,< 1 years,$1-$99,"5,000-7,499",65000.0
6235,2488653,60-69,Man,Tunisia,Bachelor’s degree,Machine Learning Engineer,5-10 years,$0 ($USD),"40,000-49,999",45000.0
6236,570,40-44,Man,Australia,Master’s degree,Data Engineer,5-10 years,$100-$999,"150,000-199,999",175000.0
6237,569,40-44,Man,Italy,Some college/university study without earning a bachelor’s degree,Student,1-3 years,,,
6238,415,18-21,Man,India,No formal education past high school,Data Analyst,3-5 years,$0 ($USD),"4,000-4,999",4500.0
6239,378967,35-39,Man,Other,Bachelor’s degree,Software Engineer,10-20 years,"$10,000-$99,999","50,000-59,999",55000.0
6240,591,35-39,Man,Greece,Master’s degree,Machine Learning Engineer,5-10 years,"$100,000 or more ($USD)","30,000-39,999",35000.0
6241,904,50-54,Man,Japan,Bachelor’s degree,Software Engineer,20+ years,"$1000-$9,999","10,000-14,999",12000.0
6242,14236,22-24,Woman,Pakistan,Bachelor’s degree,Student,1-3 years,,,
6243,512,25-29,Man,India,Some college/university study without earning a bachelor’s degree,Student,< 1 years,,,
6244,1252,30-34,Man,Morocco,Doctoral degree,Research Scientist,10-20 years,$0 ($USD),"30,000-39,999",35000.0
6245,699,30-34,Woman,United States of America,Bachelor’s degree,Software Engineer,1-3 years,$100-$999,"2,000-2,999",25000.0
6246,1431,40-44,Man,Japan,Bachelor’s degree,Data Analyst,1-3 years,"$10,000-$99,999","100,000-124,999",120000.0
6247,17237,50-54,Man,United States of America,Bachelor’s degree,Data Engineer,20+ years,$0 ($USD),"150,000-199,999",175000.0
6248,169,25-29,Man,Australia,Master’s degree,Data Analyst,1-3 years,,,
6249,304,18-21,Man,Indonesia,Some college/university study without earning a bachelor’s degree,Data Scientist,1-3 years,$0 ($USD),$0-999,500.0
6250,838,30-34,Woman,India,Master’s degree,Statistician,< 1 years,$100-$999,"5,000-7,499",65000.0
6251,588,22-24,Man,Turkey,Master’s degree,Data Scientist,1-3 years,$0 ($USD),"7,500-9,999",8500.0
6252,706,22-24,Man,Mexico,Bachelor’s degree,Student,1-3 years,,,
6253,1112961,18-21,Man,India,Bachelor’s degree,Student,1-3 years,,,
6254,859,55-59,Woman,Other,Doctoral degree,Research Scientist,20+ years,$0 ($USD),$0-999,500.0
6255,405,18-21,Man,India,Bachelor’s degree,Software Engineer,< 1 years,,,
6256,592,40-44,Man,United States of America,Master’s degree,Currently not employed,1-3 years,,,
6257,228,18-21,Man,United States of America,Bachelor’s degree,Student,< 1 years,,,
6258,606,45-49,Man,United States of America,Doctoral degree,Other,1-3 years,"$10,000-$99,999","60,000-69,999",65000.0
6259,325,25-29,Man,Belgium,Master’s degree,Currently not employed,5-10 years,,,
6260,647,22-24,Man,India,Bachelor’s degree,Other,< 1 years,"$10,000-$99,999","4,000-4,999",4500.0
6261,12298,45-49,Man,Ukraine,Doctoral degree,Research Scientist,10-20 years,$0 ($USD),"4,000-4,999",4500.0
6262,567,40-44,Woman,United States of America,Bachelor’s degree,Program/Project Manager,< 1 years,"$10,000-$99,999","100,000-124,999",120000.0
6263,157,22-24,Man,United Kingdom of Great Britain and Northern Ireland,Master’s degree,Student,< 1 years,,,
6264,1442,35-39,Man,Nigeria,Bachelor’s degree,Data Analyst,< 1 years,$0 ($USD),$0-999,500.0
6265,648,35-39,Woman,United States of America,I prefer not to answer,Research Scientist,1-3 years,$0 ($USD),"20,000-24,999",23000.0
6266,2280,25-29,Man,India,Master’s degree,Data Scientist,3-5 years,"$1000-$9,999","10,000-14,999",12000.0
6267,489,30-34,Man,Japan,Doctoral degree,Currently not employed,5-10 years,,,
6268,1211,40-44,Man,France,Master’s degree,Data Scientist,10-20 years,"$100,000 or more ($USD)","150,000-199,999",175000.0
6269,607,25-29,Man,Chile,Bachelor’s degree,Currently not employed,1-3 years,,,
6270,633,18-21,Man,India,Bachelor’s degree,Software Engineer,< 1 years,$100-$999,"1,000-1,999",1500.0
6271,4776,22-24,Man,Indonesia,Bachelor’s degree,Student,< 1 years,,,
6272,593,25-29,Man,Other,Bachelor’s degree,Student,5-10 years,,,
6273,71520,18-21,Man,United States of America,Bachelor’s degree,Student,1-3 years,,,
6274,445,22-24,Man,India,Bachelor’s degree,Data Scientist,1-3 years,"$1000-$9,999",">$1,000,000",1000000.0
6275,786,40-44,Man,India,Master’s degree,Data Analyst,3-5 years,$100-$999,"40,000-49,999",45000.0
6276,426,18-21,Man,Ireland,Some college/university study without earning a bachelor’s degree,Machine Learning Engineer,10-20 years,"$1000-$9,999","60,000-69,999",65000.0
6277,1459,22-24,Woman,India,Bachelor’s degree,Student,1-3 years,,,
6278,861,22-24,Man,United States of America,Master’s degree,Student,3-5 years,,,
6279,429,18-21,Woman,Turkey,Some college/university study without earning a bachelor’s degree,Software Engineer,1-3 years,$1-$99,$0-999,500.0
6280,651,30-34,Man,France,Master’s degree,Product Manager,1-3 years,"$1000-$9,999","70,000-79,999",75000.0
6281,732,40-44,Woman,Ethiopia,Bachelor’s degree,Other,< 1 years,$100-$999,"10,000-14,999",12000.0
6282,375,22-24,Man,Algeria,Master’s degree,Student,< 1 years,,,
6283,690,22-24,Man,India,Master’s degree,Currently not employed,< 1 years,,,
6284,608,45-49,Man,Other,Some college/university study without earning a bachelor’s degree,Software Engineer,20+ years,$0 ($USD),"10,000-14,999",12000.0
6285,2580,22-24,Man,India,Master’s degree,Business Analyst,5-10 years,$0 ($USD),"4,000-4,999",4500.0
6286,252,25-29,Woman,Viet Nam,Bachelor’s degree,Data Analyst,< 1 years,,,
6287,587,35-39,Man,Other,Bachelor’s degree,Data Analyst,1-3 years,,$0-999,500.0
6288,370,18-21,Man,Indonesia,Bachelor’s degree,Data Scientist,I have never written code,$100-$999,"1,000-1,999",1500.0
6289,21479,45-49,Prefer not to say,Japan,Master’s degree,Software Engineer,20+ years,$1-$99,"7,500-9,999",8500.0
6290,342,18-21,Prefer not to say,China,I prefer not to answer,Student,< 1 years,,,
6291,285,22-24,Man,France,Master’s degree,Student,3-5 years,,,
6292,1350,45-49,Man,France,Master’s degree,Program/Project Manager,20+ years,$0 ($USD),"90,000-99,999",95000.0
6293,252,50-54,Man,Japan,Master’s degree,Data Scientist,20+ years,,,
6294,823,18-21,Woman,Other,Some college/university study without earning a bachelor’s degree,Student,< 1 years,,,
6295,741,25-29,Man,India,Master’s degree,Other,< 1 years,$0 ($USD),$0-999,500.0
6296,1315,30-34,Man,Taiwan,Master’s degree,Data Scientist,5-10 years,"$100,000 or more ($USD)","90,000-99,999",95000.0
6297,568,40-44,Man,Chile,Master’s degree,Data Scientist,1-3 years,$1-$99,"30,000-39,999",35000.0
6298,514,50-54,Woman,United States of America,Some college/university study without earning a bachelor’s degree,Currently not employed,< 1 years,,,
6299,5898,30-34,Man,Nigeria,Bachelor’s degree,Data Scientist,5-10 years,"$1000-$9,999","1,000-1,999",1500.0
6300,168,18-21,Man,Indonesia,Bachelor’s degree,Student,1-3 years,,,
6301,780,35-39,Man,Thailand,Doctoral degree,Machine Learning Engineer,1-3 years,$0 ($USD),"20,000-24,999",23000.0
6302,446,18-21,Man,India,Master’s degree,Data Scientist,3-5 years,$1-$99,$0-999,500.0
6303,503,22-24,Man,Sri Lanka,Bachelor’s degree,Software Engineer,< 1 years,$0 ($USD),$0-999,500.0
6304,278,22-24,Man,Brazil,Master’s degree,Student,3-5 years,,,
6305,593,18-21,Man,India,Bachelor’s degree,Student,5-10 years,,,
6306,1430,22-24,Man,Indonesia,Bachelor’s degree,Currently not employed,< 1 years,,,
6307,8043,70+,Woman,Malaysia,Professional doctorate,Data Scientist,I have never written code,$100-$999,"4,000-4,999",4500.0
6308,328,22-24,Man,India,Master’s degree,Data Analyst,1-3 years,$0 ($USD),"5,000-7,499",65000.0
6309,481,22-24,Prefer not to say,Spain,Bachelor’s degree,Currently not employed,5-10 years,,,
6310,7197,25-29,Man,France,Doctoral degree,Research Scientist,5-10 years,$1-$99,"30,000-39,999",35000.0
6311,620,50-54,Man,United Kingdom of Great Britain and Northern Ireland,Doctoral degree,Currently not employed,10-20 years,,,
6312,561,30-34,Man,Canada,Master’s degree,Product Manager,10-20 years,$0 ($USD),"70,000-79,999",75000.0
6313,704,35-39,Man,Nigeria,Bachelor’s degree,Currently not employed,1-3 years,,,
6314,1667,30-34,Man,Nigeria,Master’s degree,Data Analyst,1-3 years,$0 ($USD),$0-999,500.0
6315,282,18-21,Woman,India,Master’s degree,Student,1-3 years,,,
6316,1319,35-39,Man,Other,Master’s degree,Business Analyst,3-5 years,$0 ($USD),"2,000-2,999",25000.0
6317,738,35-39,Man,Germany,Master’s degree,Data Analyst,5-10 years,$0 ($USD),"40,000-49,999",45000.0
6318,1686,30-34,Woman,Other,Master’s degree,Other,10-20 years,$0 ($USD),"5,000-7,499",65000.0
6319,210,22-24,Woman,United States of America,Master’s degree,Student,3-5 years,,,
6320,418,45-49,Man,Belgium,Bachelor’s degree,Data Analyst,10-20 years,"$1000-$9,999","60,000-69,999",65000.0
6321,441,22-24,Man,India,Bachelor’s degree,Currently not employed,3-5 years,,,
6322,253,30-34,Man,Turkey,No formal education past high school,Other,3-5 years,,,
6323,205,30-34,Man,South Korea,Bachelor’s degree,Business Analyst,< 1 years,$100-$999,"4,000-4,999",4500.0
6324,650,22-24,Man,India,Bachelor’s degree,Machine Learning Engineer,3-5 years,"$1000-$9,999",$0-999,500.0
6325,228,25-29,Man,India,Master’s degree,Developer Relations/Advocacy,1-3 years,,,
6326,720,25-29,Man,India,Bachelor’s degree,Software Engineer,1-3 years,$0 ($USD),"10,000-14,999",12000.0
6327,2420,22-24,Man,Morocco,I prefer not to answer,Data Scientist,1-3 years,$0 ($USD),$0-999,500.0
6328,854,18-21,Man,Viet Nam,Some college/university study without earning a bachelor’s degree,Student,< 1 years,,,
6329,476,22-24,Man,India,Bachelor’s degree,Data Analyst,< 1 years,$0 ($USD),$0-999,500.0
6330,815,18-21,Man,Philippines,No formal education past high school,Data Analyst,< 1 years,$0 ($USD),"3,000-3,999",3500.0
6331,401,22-24,Man,Viet Nam,Some college/university study without earning a bachelor’s degree,Data Analyst,< 1 years,"$1000-$9,999",$0-999,500.0
6332,584,25-29,Man,Malaysia,Some college/university study without earning a bachelor’s degree,Currently not employed,< 1 years,,,
6333,2727,35-39,Man,India,Master’s degree,Student,10-20 years,,,
6334,949,18-21,Woman,Kenya,Bachelor’s degree,Student,< 1 years,,,
6335,557,18-21,Woman,India,Bachelor’s degree,Student,< 1 years,,,
6336,590,22-24,Man,India,Doctoral degree,Student,< 1 years,,,
6337,204,18-21,Woman,Indonesia,Bachelor’s degree,Student,I have never written code,,,
6338,264,22-24,Man,India,Master’s degree,Data Engineer,3-5 years,,,
6339,711,22-24,Woman,India,I prefer not to answer,Student,< 1 years,,,
6340,383,25-29,Man,Egypt,Bachelor’s degree,Software Engineer,5-10 years,,,
6341,253,18-21,Woman,India,Bachelor’s degree,Student,< 1 years,,,
6342,962,45-49,Man,Poland,Doctoral degree,Research Scientist,1-3 years,$100-$999,"10,000-14,999",12000.0
6343,401,60-69,Man,Australia,Doctoral degree,Currently not employed,20+ years,,,
6344,1066,35-39,Man,Hong Kong (S.A.R.),Doctoral degree,Machine Learning Engineer,5-10 years,"$1000-$9,999","90,000-99,999",95000.0
6345,592,35-39,Man,Italy,Doctoral degree,Software Engineer,10-20 years,$0 ($USD),"25,000-29,999",27000.0
6346,6691,35-39,Man,Italy,Doctoral degree,Data Scientist,3-5 years,$1-$99,"15,000-19,999",17000.0
6347,2868,30-34,Man,Japan,Master’s degree,Currently not employed,< 1 years,,,
6348,477,22-24,Man,Malaysia,Doctoral degree,Research Scientist,3-5 years,$100-$999,"5,000-7,499",65000.0
6349,613,40-44,Man,Argentina,Master’s degree,Data Scientist,3-5 years,"$100,000 or more ($USD)","2,000-2,999",25000.0
6350,531,22-24,Man,Russia,Bachelor’s degree,Software Engineer,1-3 years,$0 ($USD),"3,000-3,999",3500.0
6351,1205,22-24,Man,Russia,Master’s degree,Student,1-3 years,,,
6352,181,22-24,Man,South Africa,Master’s degree,Data Scientist,3-5 years,,,
6353,823,40-44,Man,Ukraine,Master’s degree,Program/Project Manager,5-10 years,"$1000-$9,999","5,000-7,499",65000.0
6354,1022,22-24,Man,Turkey,Master’s degree,Student,1-3 years,,,
6355,1833,60-69,Man,Other,Master’s degree,Business Analyst,< 1 years,$0 ($USD),$0-999,500.0
6356,678,22-24,Man,India,No formal education past high school,Currently not employed,1-3 years,,,
6357,809,25-29,Woman,"Iran, Islamic Republic of...",Master’s degree,Machine Learning Engineer,1-3 years,$0 ($USD),"5,000-7,499",65000.0
6358,1539,18-21,Man,India,Bachelor’s degree,Student,5-10 years,,,
6359,489,25-29,Man,India,I prefer not to answer,Other,1-3 years,,,
6360,168,22-24,Man,Bangladesh,Bachelor’s degree,Currently not employed,1-3 years,,,
6361,6856,22-24,Woman,Iraq,Bachelor’s degree,Data Analyst,1-3 years,,,
6362,170,30-34,Man,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Software Engineer,5-10 years,,,
6363,579,18-21,Man,India,Bachelor’s degree,Student,< 1 years,,,
6364,497,30-34,Man,Indonesia,Doctoral degree,Other,< 1 years,$0 ($USD),"15,000-19,999",17000.0
6365,1576,18-21,Man,Uganda,Bachelor’s degree,Currently not employed,3-5 years,,,
6366,1175,25-29,Man,Ethiopia,Master’s degree,Machine Learning Engineer,5-10 years,$100-$999,$0-999,500.0
6367,1065,45-49,Man,United States of America,Doctoral degree,Data Scientist,5-10 years,$100-$999,"125,000-149,999",132000.0
6368,2071,25-29,Man,Other,Bachelor’s degree,Software Engineer,3-5 years,"$1000-$9,999","40,000-49,999",45000.0
6369,643,35-39,Man,South Korea,Bachelor’s degree,Software Engineer,10-20 years,$0 ($USD),"80,000-89,999",85000.0
6370,859,22-24,Woman,India,Master’s degree,Software Engineer,3-5 years,$1-$99,"4,000-4,999",4500.0
6371,549,22-24,Man,India,Bachelor’s degree,Other,< 1 years,$0 ($USD),"4,000-4,999",4500.0
6372,147,22-24,Woman,France,Bachelor’s degree,Student,1-3 years,,,
6373,630,22-24,Man,Other,Master’s degree,Data Scientist,< 1 years,$1-$99,"5,000-7,499",65000.0
6374,250,30-34,Man,United Kingdom of Great Britain and Northern Ireland,Doctoral degree,Currently not employed,5-10 years,,,
6375,937,25-29,Man,Nigeria,Bachelor’s degree,Data Analyst,1-3 years,$0 ($USD),$0-999,500.0
6376,663,30-34,Man,Ethiopia,Master’s degree,Software Engineer,3-5 years,$0 ($USD),$0-999,500.0
6377,420,18-21,Man,Pakistan,Bachelor’s degree,Student,3-5 years,,,
6378,412,25-29,Man,Peru,Master’s degree,Student,3-5 years,,,
6379,197,18-21,Man,India,Bachelor’s degree,Student,1-3 years,,,
6380,351,18-21,Woman,India,Bachelor’s degree,Student,< 1 years,,,
6381,5684,22-24,Woman,Japan,Master’s degree,Student,1-3 years,,,
6382,593,18-21,Man,Russia,Bachelor’s degree,Student,3-5 years,,,
6383,1127,18-21,Woman,India,Bachelor’s degree,Software Engineer,3-5 years,$0 ($USD),"5,000-7,499",65000.0
6384,168,18-21,Man,India,Bachelor’s degree,Student,1-3 years,,,
6385,901,18-21,Man,India,Bachelor’s degree,Data Scientist,1-3 years,$0 ($USD),$0-999,500.0
6386,825,22-24,Man,India,Bachelor’s degree,Currently not employed,< 1 years,,,
6387,853,22-24,Woman,India,Bachelor’s degree,Data Scientist,3-5 years,$100-$999,"15,000-19,999",17000.0
6388,1045,22-24,Woman,Tunisia,Master’s degree,Software Engineer,1-3 years,,,
6389,217,18-21,Woman,India,No formal education past high school,Student,< 1 years,,,
6390,903,30-34,Man,Japan,Master’s degree,Research Scientist,5-10 years,$0 ($USD),$0-999,500.0
6391,381,18-21,Woman,India,Bachelor’s degree,Student,< 1 years,,,
6392,774,25-29,Man,Mexico,Doctoral degree,Software Engineer,1-3 years,$0 ($USD),"10,000-14,999",12000.0
6393,844,45-49,Man,Nigeria,Master’s degree,Other,3-5 years,$0 ($USD),"40,000-49,999",45000.0
6394,501,25-29,Man,Germany,Bachelor’s degree,Currently not employed,< 1 years,,,
