Response Time,Age,Gender,Country,Education,Job Title,Experience,Investment,Compensation
156,18-21,Man,I do not wish to disclose my location,No formal education past high school,Product Manager,I have never written code,$1-$99,$0-999
722,25-29,Woman,United States of America,Master’s degree,Software Engineer,< 1 years,$0 ($USD),$0-999
533,25-29,Nonbinary,Other,Bachelor’s degree,Machine Learning Engineer,3-5 years,$0 ($USD),$0-999
1080,35-39,Woman,Egypt,Bachelor’s degree,Other,I have never written code,$0 ($USD),$0-999
454,25-29,Man,Philippines,Master’s degree,Product Manager,1-3 years,$0 ($USD),$0-999
526,40-44,Man,India,Doctoral degree,Research Scientist,10-20 years,"$10,000-$99,999","30,000-39,999"
395,18-21,Man,Singapore,Some college/university study without earning a bachelor’s degree,Student,5-10 years,,
723,35-39,Man,United Kingdom of Great Britain and Northern Ireland,Master’s degree,Data Scientist,10-20 years,"$1000-$9,999","80,000-89,999"
925,35-39,Woman,India,Doctoral degree,Other,5-10 years,$0 ($USD),$0-999
1001,45-49,Man,Canada,Master’s degree,Data Analyst,3-5 years,$0 ($USD),"60,000-69,999"
447,45-49,Man,Ireland,Bachelor’s degree,Software Engineer,10-20 years,$1-$99,"70,000-79,999"
345,22-24,Man,Kenya,Bachelor’s degree,Student,1-3 years,,
558,22-24,Man,India,Master’s degree,Data Scientist,1-3 years,"$1000-$9,999","40,000-49,999"
364,25-29,Man,India,Master’s degree,Software Engineer,3-5 years,,
1293,22-24,Man,Viet Nam,Master’s degree,Machine Learning Engineer,1-3 years,"$10,000-$99,999","25,000-29,999"
325,18-21,Man,India,Bachelor’s degree,Student,1-3 years,,
564,25-29,Man,Other,Doctoral degree,Research Scientist,5-10 years,"$10,000-$99,999","2,000-2,999"
1622,70+,Man,Japan,No formal education past high school,Other,20+ years,$100-$999,"5,000-7,499"
1504,25-29,Man,United Arab Emirates,Bachelor’s degree,Data Scientist,5-10 years,$0 ($USD),$0-999
495,18-21,Man,Other,Bachelor’s degree,Student,5-10 years,,
893,45-49,Man,Taiwan,Bachelor’s degree,Machine Learning Engineer,5-10 years,$100-$999,"15,000-19,999"
442,22-24,Man,South Korea,Some college/university study without earning a bachelor’s degree,Student,3-5 years,,
337,18-21,Man,United States of America,I prefer not to answer,Student,3-5 years,,
944,45-49,Man,India,Doctoral degree,Research Scientist,10-20 years,$100-$999,"5,000-7,499"
445,18-21,Woman,India,Bachelor’s degree,Student,< 1 years,,
316,25-29,Man,United Kingdom of Great Britain and Northern Ireland,Master’s degree,Currently not employed,1-3 years,,
536,25-29,Man,Italy,Master’s degree,Data Scientist,1-3 years,"$10,000-$99,999","40,000-49,999"
888,25-29,Woman,Other,Some college/university study without earning a bachelor’s degree,Software Engineer,I have never written code,$0 ($USD),$0-999
794,25-29,Man,India,Bachelor’s degree,Business Analyst,< 1 years,,
365,35-39,Man,United States of America,Master’s degree,Program/Project Manager,1-3 years,$0 ($USD),"100,000-124,999"
266,22-24,Woman,Mexico,Bachelor’s degree,Other,1-3 years,,
1296,22-24,Man,India,Bachelor’s degree,Software Engineer,< 1 years,$0 ($USD),"4,000-4,999"
5740,50-54,Woman,India,Doctoral degree,Research Scientist,20+ years,$1-$99,"1,000-1,999"
1038,18-21,Woman,India,Bachelor’s degree,Machine Learning Engineer,< 1 years,,
1747,35-39,Man,India,Bachelor’s degree,Software Engineer,10-20 years,"$10,000-$99,999","15,000-19,999"
414,18-21,Man,India,Bachelor’s degree,Student,5-10 years,,
571,18-21,Man,India,Bachelor’s degree,Student,3-5 years,,
190183,30-34,Man,India,Bachelor’s degree,Data Scientist,5-10 years,,
1950,22-24,Man,India,Bachelor’s degree,Student,1-3 years,,
469,45-49,Woman,India,Master’s degree,Data Engineer,1-3 years,,$0-999
12090,45-49,Man,Canada,Professional doctorate,Research Scientist,10-20 years,$0 ($USD),"70,000-79,999"
318,22-24,Man,India,Bachelor’s degree,Student,1-3 years,,
1804,45-49,Woman,Ukraine,I prefer not to answer,Software Engineer,20+ years,$0 ($USD),"10,000-14,999"
2319,18-21,Man,India,No formal education past high school,Student,1-3 years,,
1305,60-69,Man,India,Some college/university study without earning a bachelor’s degree,Student,< 1 years,,
1557,35-39,Woman,United States of America,Doctoral degree,Student,1-3 years,,
612,40-44,Man,India,Master’s degree,Business Analyst,5-10 years,$0 ($USD),"4,000-4,999"
719,25-29,Man,Japan,Bachelor’s degree,Business Analyst,1-3 years,$0 ($USD),"50,000-59,999"
412,18-21,Man,United States of America,Master’s degree,Data Scientist,1-3 years,$0 ($USD),$0-999
209,30-34,Man,Canada,Master’s degree,Data Scientist,I have never written code,$0 ($USD),$0-999
256,25-29,Man,India,Bachelor’s degree,Currently not employed,1-3 years,,
429,35-39,Man,Ethiopia,Master’s degree,Student,1-3 years,,
794,25-29,Woman,Pakistan,Bachelor’s degree,Data Analyst,1-3 years,$0 ($USD),"3,000-3,999"
364,55-59,Man,United States of America,Bachelor’s degree,Other,I have never written code,$0 ($USD),$0-999
256,18-21,Man,Other,Bachelor’s degree,Student,< 1 years,,
368,35-39,Man,Brazil,No formal education past high school,Software Engineer,I have never written code,$0 ($USD),$0-999
2549,22-24,Man,India,Bachelor’s degree,Machine Learning Engineer,1-3 years,$1-$99,$0-999
862,25-29,Woman,Brazil,Master’s degree,Statistician,1-3 years,$1-$99,"7,500-9,999"
388,35-39,Man,India,Bachelor’s degree,Program/Project Manager,10-20 years,"$100,000 or more ($USD)","100,000-124,999"
1231,22-24,Man,Netherlands,Bachelor’s degree,Student,5-10 years,,
520,25-29,Man,Ukraine,Master’s degree,Machine Learning Engineer,3-5 years,$0 ($USD),"2,000-2,999"
684,35-39,Woman,United States of America,Master’s degree,Student,I have never written code,,
7731,30-34,Man,United States of America,Doctoral degree,Research Scientist,3-5 years,,
706,30-34,Man,United Kingdom of Great Britain and Northern Ireland,Some college/university study without earning a bachelor’s degree,Data Engineer,5-10 years,"$100,000 or more ($USD)","90,000-99,999"
747,50-54,Man,India,Master’s degree,Student,< 1 years,,
1298,30-34,Man,Ethiopia,Master’s degree,Program/Project Manager,3-5 years,$1-$99,"1,000-1,999"
772,50-54,Man,Nigeria,Master’s degree,Other,5-10 years,$100-$999,$0-999
829,18-21,Man,India,Bachelor’s degree,Student,1-3 years,,
156,18-21,Man,India,Bachelor’s degree,Student,< 1 years,,
957,18-21,Man,India,Bachelor’s degree,Student,1-3 years,,
256,25-29,Man,Ethiopia,Master’s degree,Data Analyst,< 1 years,,
288,22-24,Man,Singapore,No formal education past high school,Business Analyst,1-3 years,$0 ($USD),$0-999
412,35-39,Man,Other,Doctoral degree,Machine Learning Engineer,10-20 years,,
195,18-21,Man,India,Bachelor’s degree,Student,< 1 years,,
1768,22-24,Man,Colombia,Bachelor’s degree,Business Analyst,1-3 years,,
171,25-29,Man,India,Bachelor’s degree,Software Engineer,5-10 years,,
268,35-39,Woman,Kenya,Master’s degree,Student,1-3 years,,
446,18-21,Man,India,Bachelor’s degree,Data Scientist,1-3 years,"$1000-$9,999","2,000-2,999"
546,25-29,Woman,United States of America,Some college/university study without earning a bachelor’s degree,Other,5-10 years,$0 ($USD),"30,000-39,999"
615,35-39,Man,Mexico,Some college/university study without earning a bachelor’s degree,Data Analyst,1-3 years,$0 ($USD),"1,000-1,999"
4476,25-29,Woman,Other,Master’s degree,Statistician,1-3 years,$0 ($USD),"2,000-2,999"
357,30-34,Man,Russia,Some college/university study without earning a bachelor’s degree,Student,< 1 years,,
160,18-21,Man,India,Bachelor’s degree,Student,1-3 years,,
1842,55-59,Man,France,Master’s degree,Program/Project Manager,20+ years,,
875,40-44,Man,Japan,Master’s degree,Program/Project Manager,< 1 years,$1-$99,"80,000-89,999"
1467,22-24,Man,Pakistan,Master’s degree,Data Scientist,1-3 years,"$1000-$9,999","5,000-7,499"
146,25-29,Man,China,Master’s degree,Student,< 1 years,,
2507,60-69,Man,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,DBA/Database Engineer,3-5 years,,
893,45-49,Man,Turkey,Some college/university study without earning a bachelor’s degree,Statistician,10-20 years,$0 ($USD),$0-999
507,22-24,Man,Spain,Master’s degree,Software Engineer,3-5 years,$0 ($USD),"25,000-29,999"
1435,30-34,Man,India,Master’s degree,Software Engineer,1-3 years,$0 ($USD),"3,000-3,999"
963,35-39,Man,South Africa,No formal education past high school,Research Scientist,10-20 years,$0 ($USD),"40,000-49,999"
369,25-29,Man,Pakistan,Some college/university study without earning a bachelor’s degree,Currently not employed,1-3 years,,
348,35-39,Man,Australia,Master’s degree,Other,10-20 years,$0 ($USD),"200,000-249,999"
315,30-34,Man,United States of America,Master’s degree,Software Engineer,5-10 years,$0 ($USD),"100,000-124,999"
1129,30-34,Man,Nigeria,Master’s degree,Other,1-3 years,"$100,000 or more ($USD)","7,500-9,999"
554,22-24,Man,India,Master’s degree,Data Scientist,1-3 years,"$10,000-$99,999","5,000-7,499"
1823,55-59,Man,Peru,Master’s degree,Software Engineer,20+ years,$100-$999,"40,000-49,999"
271,18-21,Man,India,Bachelor’s degree,Software Engineer,< 1 years,,
370,18-21,Man,India,Bachelor’s degree,Data Analyst,< 1 years,"$1000-$9,999","1,000-1,999"
1455,30-34,Man,Bangladesh,Bachelor’s degree,Program/Project Manager,3-5 years,$0 ($USD),$0-999
857,22-24,Woman,United States of America,Master’s degree,Software Engineer,1-3 years,$0 ($USD),$0-999
1354,25-29,Man,India,Bachelor’s degree,Software Engineer,1-3 years,$0 ($USD),"5,000-7,499"
183,18-21,Man,India,Some college/university study without earning a bachelor’s degree,Student,1-3 years,,
1436,45-49,Prefer not to say,United States of America,Some college/university study without earning a bachelor’s degree,Data Analyst,20+ years,$0 ($USD),$0-999
694,50-54,Man,Romania,Doctoral degree,Data Scientist,20+ years,"$100,000 or more ($USD)","90,000-99,999"
755434,25-29,Man,Russia,Master’s degree,Data Scientist,3-5 years,,
200,22-24,Man,Turkey,Bachelor’s degree,Student,1-3 years,,
592,18-21,Man,India,Bachelor’s degree,Student,1-3 years,,
367,22-24,Woman,Other,Master’s degree,Data Scientist,3-5 years,$1-$99,$0-999
987,50-54,Man,Norway,Master’s degree,Data Scientist,20+ years,$0 ($USD),"100,000-124,999"
510,22-24,Man,India,Master’s degree,Student,< 1 years,,
268,25-29,Man,Other,Some college/university study without earning a bachelor’s degree,Currently not employed,1-3 years,,
778,60-69,Man,Japan,Master’s degree,Other,I have never written code,$0 ($USD),"100,000-124,999"
1025,45-49,Man,South Korea,Master’s degree,Data Scientist,20+ years,"$1000-$9,999","60,000-69,999"
576,30-34,Man,Germany,Doctoral degree,Student,10-20 years,,
416,35-39,Woman,United States of America,Master’s degree,Student,10-20 years,,
812,70+,Man,Canada,Doctoral degree,Other,10-20 years,"$1000-$9,999","100,000-124,999"
5727,25-29,Woman,India,Master’s degree,Currently not employed,1-3 years,,
3109,35-39,Woman,Mexico,Bachelor’s degree,Data Analyst,5-10 years,$100-$999,"1,000-1,999"
402,18-21,Man,India,Some college/university study without earning a bachelor’s degree,Student,1-3 years,,
1015,25-29,Woman,India,Master’s degree,Other,< 1 years,$0 ($USD),$0-999
730,30-34,Man,United States of America,Bachelor’s degree,Program/Project Manager,< 1 years,$0 ($USD),"50,000-59,999"
216,18-21,Man,India,Some college/university study without earning a bachelor’s degree,Student,< 1 years,,
905,50-54,Man,Taiwan,Bachelor’s degree,Research Scientist,20+ years,$1-$99,$0-999
1768,22-24,Man,India,Bachelor’s degree,Data Scientist,< 1 years,$1-$99,$0-999
503,30-34,Woman,Egypt,Bachelor’s degree,Currently not employed,1-3 years,,
1763,25-29,Man,Turkey,Bachelor’s degree,Data Scientist,< 1 years,$100-$999,"5,000-7,499"
4442,25-29,Man,India,Bachelor’s degree,Machine Learning Engineer,1-3 years,"$1000-$9,999",$0-999
836,18-21,Man,India,Bachelor’s degree,Software Engineer,3-5 years,$100-$999,"25,000-29,999"
2327,40-44,Man,United States of America,Bachelor’s degree,Data Analyst,1-3 years,"$1000-$9,999","70,000-79,999"
159,22-24,Prefer not to say,I do not wish to disclose my location,Bachelor’s degree,Software Engineer,3-5 years,,
478,22-24,Woman,India,Master’s degree,Currently not employed,< 1 years,,
500,40-44,Man,Spain,Doctoral degree,Data Scientist,10-20 years,"$100,000 or more ($USD)","70,000-79,999"
7272,35-39,Man,Pakistan,Doctoral degree,Student,3-5 years,,
910,50-54,Woman,United States of America,Master’s degree,DBA/Database Engineer,20+ years,"$100,000 or more ($USD)","150,000-199,999"
551,30-34,Man,India,Master’s degree,Other,I have never written code,"$1000-$9,999","5,000-7,499"
590,18-21,Man,Mexico,Bachelor’s degree,Business Analyst,1-3 years,,
627,50-54,Man,Poland,Master’s degree,Data Scientist,20+ years,$100-$999,"40,000-49,999"
582,25-29,Man,South Korea,Master’s degree,Student,< 1 years,,
623,45-49,Man,United States of America,Master’s degree,Data Engineer,10-20 years,"$100,000 or more ($USD)","150,000-199,999"
724,30-34,Man,Uganda,Bachelor’s degree,Other,I have never written code,$0 ($USD),"5,000-7,499"
1148,25-29,Woman,India,Doctoral degree,Research Scientist,1-3 years,$100-$999,"7,500-9,999"
524,25-29,Man,Greece,Bachelor’s degree,Data Analyst,1-3 years,$0 ($USD),"5,000-7,499"
1035,22-24,Man,India,Bachelor’s degree,Data Scientist,3-5 years,"$1000-$9,999","7,500-9,999"
188,18-21,Woman,Egypt,No formal education past high school,Business Analyst,< 1 years,$0 ($USD),$0-999
1254,18-21,Man,Egypt,Some college/university study without earning a bachelor’s degree,Student,< 1 years,,
562,50-54,Woman,Australia,Some college/university study without earning a bachelor’s degree,Data Engineer,20+ years,"$100,000 or more ($USD)","100,000-124,999"
1024,35-39,Man,Japan,Master’s degree,Other,< 1 years,$1-$99,"5,000-7,499"
1101,50-54,Man,Netherlands,Master’s degree,Business Analyst,3-5 years,,
4016,55-59,Man,India,Doctoral degree,Data Scientist,1-3 years,$100-$999,"5,000-7,499"
925,25-29,Woman,India,Bachelor’s degree,Currently not employed,3-5 years,,
935,30-34,Man,Viet Nam,Master’s degree,Data Scientist,5-10 years,"$1000-$9,999","50,000-59,999"
604,18-21,Woman,Russia,Bachelor’s degree,Business Analyst,< 1 years,$0 ($USD),"5,000-7,499"
1317,35-39,Man,India,Bachelor’s degree,Program/Project Manager,< 1 years,"$1000-$9,999","2,000-2,999"
534,22-24,Man,India,Master’s degree,Data Scientist,1-3 years,$0 ($USD),$0-999
542,18-21,Man,China,Bachelor’s degree,Student,1-3 years,,
640,70+,Man,Germany,Doctoral degree,Program/Project Manager,20+ years,"$100,000 or more ($USD)","125,000-149,999"
531,22-24,Man,Kenya,Bachelor’s degree,Student,< 1 years,,
541,30-34,Woman,United States of America,Master’s degree,Student,1-3 years,,
584,40-44,Man,Ireland,No formal education past high school,Other,I have never written code,$0 ($USD),"40,000-49,999"
6702,60-69,Man,United Kingdom of Great Britain and Northern Ireland,Doctoral degree,Research Scientist,5-10 years,"$1000-$9,999","60,000-69,999"
634,18-21,Man,India,Bachelor’s degree,Student,< 1 years,,
380,18-21,Man,Other,Bachelor’s degree,Student,< 1 years,,
688,40-44,Woman,India,Master’s degree,Other,10-20 years,$0 ($USD),"1,000-1,999"
1783,25-29,Man,India,Master’s degree,Data Analyst,5-10 years,,"1,000-1,999"
481,22-24,Man,India,Bachelor’s degree,Software Engineer,1-3 years,$100-$999,$0-999
7376,30-34,Woman,India,Master’s degree,Currently not employed,< 1 years,,
1107,25-29,Man,India,Bachelor’s degree,Developer Relations/Advocacy,1-3 years,$100-$999,"300,000-499,999"
524,45-49,Man,India,Bachelor’s degree,Other,10-20 years,"$1000-$9,999","70,000-79,999"
1107,25-29,Man,India,Master’s degree,Data Analyst,20+ years,$100-$999,"40,000-49,999"
133643,25-29,Man,Nigeria,Bachelor’s degree,Currently not employed,< 1 years,,
248,18-21,Man,India,Bachelor’s degree,Student,1-3 years,,
483,35-39,Woman,United States of America,Master’s degree,Research Scientist,3-5 years,$100-$999,"90,000-99,999"
1199,45-49,Man,Peru,Master’s degree,Research Scientist,I have never written code,"$1000-$9,999","30,000-39,999"
934,30-34,Man,United States of America,Master’s degree,Data Scientist,5-10 years,"$1000-$9,999","90,000-99,999"
639,25-29,Man,Brazil,Master’s degree,Data Scientist,1-3 years,$1-$99,"1,000-1,999"
1931,22-24,Man,India,Master’s degree,Data Analyst,1-3 years,$0 ($USD),$0-999
573,18-21,Man,India,Bachelor’s degree,Student,1-3 years,,
6819,50-54,Man,United States of America,Master’s degree,Program/Project Manager,3-5 years,$100-$999,"90,000-99,999"
367,60-69,Man,United States of America,Bachelor’s degree,DBA/Database Engineer,I have never written code,"$1000-$9,999","100,000-124,999"
225,30-34,Man,United States of America,Master’s degree,Research Scientist,I have never written code,"$100,000 or more ($USD)","60,000-69,999"
544,40-44,Man,India,Bachelor’s degree,Product Manager,I have never written code,$0 ($USD),"15,000-19,999"
588,40-44,Man,United States of America,Doctoral degree,Data Scientist,20+ years,"$10,000-$99,999","70,000-79,999"
429,30-34,Man,France,Master’s degree,Data Scientist,5-10 years,"$100,000 or more ($USD)","70,000-79,999"
2185,40-44,Man,India,Master’s degree,Software Engineer,20+ years,$100-$999,"70,000-79,999"
142746,45-49,Prefer not to say,Other,No formal education past high school,Data Analyst,20+ years,$100-$999,"40,000-49,999"
481,18-21,Man,India,Bachelor’s degree,Student,< 1 years,,
1041,25-29,Man,Other,Master’s degree,Software Engineer,5-10 years,$0 ($USD),"10,000-14,999"
930,25-29,Woman,Nepal,Bachelor’s degree,Data Engineer,< 1 years,$0 ($USD),$0-999
385,30-34,Man,India,Bachelor’s degree,Other,I have never written code,$0 ($USD),"15,000-19,999"
749,30-34,Woman,United States of America,Doctoral degree,Data Engineer,1-3 years,$0 ($USD),"100,000-124,999"
2399,18-21,Man,Italy,Master’s degree,Student,1-3 years,,
187,22-24,Woman,Russia,Bachelor’s degree,Machine Learning Engineer,1-3 years,,
1437,25-29,Man,Bangladesh,Master’s degree,Software Engineer,3-5 years,"$1000-$9,999","7,500-9,999"
626,22-24,Man,India,Master’s degree,Software Engineer,1-3 years,$1-$99,"20,000-24,999"
535,22-24,Man,India,Bachelor’s degree,Student,1-3 years,,
883,22-24,Man,India,Bachelor’s degree,Program/Project Manager,1-3 years,$1-$99,"10,000-14,999"
527,35-39,Man,Germany,Master’s degree,Other,3-5 years,$0 ($USD),"30,000-39,999"
580,18-21,Man,India,Bachelor’s degree,Software Engineer,1-3 years,$100-$999,$0-999
1061,22-24,Woman,Other,Bachelor’s degree,Other,I have never written code,$0 ($USD),$0-999
814,18-21,Man,India,Bachelor’s degree,Student,< 1 years,,
372,35-39,Man,India,Bachelor’s degree,Data Engineer,5-10 years,$1-$99,"1,000-1,999"
258,22-24,Man,United States of America,Bachelor’s degree,Data Analyst,1-3 years,,
573,40-44,Man,United States of America,Doctoral degree,Program/Project Manager,10-20 years,"$1000-$9,999","100,000-124,999"
635,40-44,Woman,India,Doctoral degree,Currently not employed,10-20 years,,
223,18-21,Man,India,Bachelor’s degree,Student,1-3 years,,
999,55-59,Man,Japan,Doctoral degree,Research Scientist,20+ years,"$1000-$9,999","100,000-124,999"
1476,40-44,Woman,United States of America,Doctoral degree,Other,10-20 years,"$1000-$9,999","15,000-19,999"
160935,30-34,Man,Brazil,Master’s degree,Data Scientist,5-10 years,"$1000-$9,999","30,000-39,999"
690,25-29,Man,India,Master’s degree,Machine Learning Engineer,5-10 years,$1-$99,"10,000-14,999"
2227,30-34,Man,India,Master’s degree,Data Scientist,10-20 years,$100-$999,"25,000-29,999"
610,30-34,Woman,Malaysia,Bachelor’s degree,Currently not employed,< 1 years,,
643,25-29,Man,Spain,I prefer not to answer,Currently not employed,5-10 years,,
213,25-29,Man,Japan,Doctoral degree,Student,1-3 years,,
330,18-21,Woman,Egypt,Some college/university study without earning a bachelor’s degree,Student,< 1 years,,
867,30-34,Man,Russia,Bachelor’s degree,Software Engineer,5-10 years,"$1000-$9,999","50,000-59,999"
651,25-29,Man,United States of America,Master’s degree,Data Scientist,5-10 years,$1-$99,"125,000-149,999"
706,30-34,Man,Spain,Doctoral degree,Data Scientist,5-10 years,$100-$999,"40,000-49,999"
207,22-24,Woman,India,Bachelor’s degree,Student,< 1 years,,
1073,22-24,Man,India,Some college/university study without earning a bachelor’s degree,Machine Learning Engineer,3-5 years,$0 ($USD),$0-999
776,30-34,Man,Nigeria,Bachelor’s degree,Data Analyst,1-3 years,$100-$999,"1,000-1,999"
922,18-21,Woman,India,Bachelor’s degree,Data Analyst,1-3 years,,
1577,40-44,Man,Russia,Master’s degree,Machine Learning Engineer,10-20 years,$100-$999,"2,000-2,999"
8800,25-29,Man,Indonesia,Bachelor’s degree,Data Analyst,3-5 years,$0 ($USD),$0-999
473,18-21,Man,Indonesia,Bachelor’s degree,Software Engineer,3-5 years,,
859,45-49,Man,Mexico,Master’s degree,Data Analyst,1-3 years,$0 ($USD),"20,000-24,999"
337,22-24,Man,Bangladesh,Bachelor’s degree,Student,< 1 years,,
169,18-21,Man,Other,Bachelor’s degree,Student,< 1 years,,
750,40-44,Man,Singapore,Bachelor’s degree,Data Analyst,< 1 years,$0 ($USD),"70,000-79,999"
534,25-29,Man,Brazil,Bachelor’s degree,Data Engineer,1-3 years,"$1000-$9,999","3,000-3,999"
505,45-49,Man,United Arab Emirates,Bachelor’s degree,Program/Project Manager,3-5 years,"$100,000 or more ($USD)","200,000-249,999"
827,35-39,Man,Russia,Doctoral degree,Software Engineer,10-20 years,$1-$99,"1,000-1,999"
607,30-34,Woman,United States of America,Professional doctorate,Other,< 1 years,$0 ($USD),"60,000-69,999"
1021,30-34,Man,Ghana,Bachelor’s degree,Data Scientist,< 1 years,$100-$999,$0-999
183,35-39,Woman,Canada,Master’s degree,Business Analyst,< 1 years,$100-$999,"5,000-7,499"
476,18-21,Man,Colombia,Master’s degree,Student,1-3 years,,
1085,22-24,Man,India,Bachelor’s degree,Business Analyst,< 1 years,$0 ($USD),"7,500-9,999"
728,30-34,Man,Netherlands,Doctoral degree,Research Scientist,10-20 years,$0 ($USD),"250,000-299,999"
576,60-69,Man,India,Master’s degree,Program/Project Manager,20+ years,$1-$99,"50,000-59,999"
667,18-21,Woman,India,Bachelor’s degree,Student,< 1 years,,
843,55-59,Man,Philippines,Doctoral degree,Data Scientist,3-5 years,$0 ($USD),"20,000-24,999"
530,18-21,Man,India,No formal education past high school,Data Scientist,< 1 years,,
807,22-24,Man,Nepal,Bachelor’s degree,Software Engineer,< 1 years,"$100,000 or more ($USD)",">$1,000,000"
1578,25-29,Man,India,Master’s degree,Business Analyst,< 1 years,$0 ($USD),"15,000-19,999"
607,18-21,Man,Viet Nam,Master’s degree,Student,1-3 years,,
497,35-39,Man,Spain,Master’s degree,Other,< 1 years,$0 ($USD),"25,000-29,999"
1256,30-34,Man,United Kingdom of Great Britain and Northern Ireland,Doctoral degree,Data Scientist,3-5 years,"$1000-$9,999","80,000-89,999"
652,35-39,Woman,United States of America,Master’s degree,Data Scientist,3-5 years,"$1000-$9,999","7,500-9,999"
1699,25-29,Man,Other,Some college/university study without earning a bachelor’s degree,Software Engineer,5-10 years,"$1000-$9,999","1,000-1,999"
403,25-29,Man,United States of America,Master’s degree,Data Engineer,< 1 years,$0 ($USD),"40,000-49,999"
795,30-34,Man,Other,Bachelor’s degree,Data Analyst,1-3 years,"$100,000 or more ($USD)",$0-999
1022,30-34,Man,India,Bachelor’s degree,Data Analyst,< 1 years,$100-$999,$0-999
625,50-54,Man,United States of America,Master’s degree,Software Engineer,20+ years,$0 ($USD),$0-999
532,25-29,Man,Germany,Bachelor’s degree,Software Engineer,< 1 years,"$10,000-$99,999","50,000-59,999"
843,22-24,Man,Argentina,Bachelor’s degree,Program/Project Manager,5-10 years,$1-$99,$0-999
722,25-29,Woman,France,Master’s degree,Business Analyst,< 1 years,,
356,18-21,Man,India,Bachelor’s degree,Data Analyst,< 1 years,,
436,40-44,Woman,Canada,Master’s degree,Data Analyst,3-5 years,,
1230,30-34,Man,Turkey,Master’s degree,Software Engineer,5-10 years,$100-$999,"60,000-69,999"
3587,30-34,Man,Pakistan,Professional doctorate,Data Scientist,3-5 years,"$1000-$9,999","15,000-19,999"
676885,35-39,Man,United States of America,Bachelor’s degree,Data Scientist,5-10 years,$100-$999,"50,000-59,999"
1367,35-39,Woman,United Kingdom of Great Britain and Northern Ireland,Master’s degree,Data Scientist,3-5 years,"$1000-$9,999","60,000-69,999"
574,30-34,Man,India,Master’s degree,Data Analyst,5-10 years,$0 ($USD),"60,000-69,999"
449,55-59,Woman,United States of America,Doctoral degree,Currently not employed,20+ years,,
662460,45-49,Man,Japan,No formal education past high school,Data Analyst,10-20 years,"$1000-$9,999","80,000-89,999"
828,25-29,Man,Japan,Master’s degree,Other,1-3 years,$1-$99,"30,000-39,999"
659,45-49,Man,Other,Master’s degree,Other,1-3 years,$0 ($USD),"25,000-29,999"
169,18-21,Man,Mexico,Some college/university study without earning a bachelor’s degree,Business Analyst,< 1 years,$100-$999,"3,000-3,999"
1313,40-44,Man,Russia,Some college/university study without earning a bachelor’s degree,Software Engineer,5-10 years,$0 ($USD),"25,000-29,999"
1113,22-24,Man,India,Master’s degree,Data Scientist,3-5 years,"$100,000 or more ($USD)","10,000-14,999"
1350,18-21,Man,Sri Lanka,Master’s degree,Data Scientist,< 1 years,$1-$99,$0-999
478,45-49,Man,Mexico,Some college/university study without earning a bachelor’s degree,Software Engineer,20+ years,$0 ($USD),"30,000-39,999"
649,30-34,Man,United States of America,Master’s degree,Data Scientist,3-5 years,"$100,000 or more ($USD)","125,000-149,999"
326,22-24,Woman,Other,Master’s degree,Software Engineer,3-5 years,,"5,000-7,499"
900,18-21,Man,Indonesia,Bachelor’s degree,Data Scientist,1-3 years,$0 ($USD),$0-999
1120,30-34,Man,Other,Professional doctorate,Program/Project Manager,5-10 years,$1-$99,"200,000-249,999"
1101,25-29,Man,Nigeria,Master’s degree,Student,< 1 years,,
171,18-21,Man,India,Bachelor’s degree,Student,< 1 years,,
230,25-29,Woman,India,Bachelor’s degree,Other,I have never written code,"$1000-$9,999","3,000-3,999"
521,25-29,Woman,India,Bachelor’s degree,Data Analyst,I have never written code,$1-$99,"5,000-7,499"
634,18-21,Man,Indonesia,Bachelor’s degree,Student,1-3 years,,
654,18-21,Woman,United States of America,Some college/university study without earning a bachelor’s degree,Student,3-5 years,,
198,35-39,Man,Hong Kong (S.A.R.),Bachelor’s degree,Currently not employed,1-3 years,,
370,18-21,Woman,Other,I prefer not to answer,Student,< 1 years,,
1011,60-69,Man,Pakistan,Doctoral degree,Research Scientist,3-5 years,$0 ($USD),$0-999
271,18-21,Woman,India,Bachelor’s degree,Student,1-3 years,,
758,25-29,Man,India,Master’s degree,Machine Learning Engineer,5-10 years,"$1000-$9,999","10,000-14,999"
284,18-21,Man,India,Some college/university study without earning a bachelor’s degree,Student,< 1 years,,
382,18-21,Woman,India,Some college/university study without earning a bachelor’s degree,Student,< 1 years,,
315,22-24,Woman,India,Bachelor’s degree,Student,1-3 years,,
1798,45-49,Man,India,Doctoral degree,Research Scientist,20+ years,"$1000-$9,999","2,000-2,999"
751,22-24,Man,India,Bachelor’s degree,Product Manager,< 1 years,$1-$99,"10,000-14,999"
933,40-44,Man,Other,Doctoral degree,Machine Learning Engineer,20+ years,"$1000-$9,999","100,000-124,999"
575,40-44,Man,Singapore,Some college/university study without earning a bachelor’s degree,Data Analyst,3-5 years,"$10,000-$99,999","60,000-69,999"
102654,18-21,Man,Russia,Bachelor’s degree,Student,5-10 years,,
578,45-49,Woman,Egypt,Doctoral degree,Research Scientist,20+ years,$0 ($USD),"50,000-59,999"
1054,30-34,Man,India,Bachelor’s degree,Other,I have never written code,$0 ($USD),"4,000-4,999"
371,25-29,Man,Singapore,Bachelor’s degree,Student,< 1 years,,
